node_id,index,UniProt
9606.ENSP00000219746,222,O15405
9606.ENSP00000219782,223,P56270
9606.ENSP00000219905,224,Q8IWI9
9606.ENSP00000220003,225,P41240
9606.ENSP00000220166,226,P09668
9606.ENSP00000220325,227,Q9H223
9606.ENSP00000220429,228,Q06547
9606.ENSP00000220478,229,Q8WXD2
9606.ENSP00000220592,230,Q9UKV8
9606.ENSP00000220616,231,P01266
9606.ENSP00000220669,232,Q8TCF1
9606.ENSP00000220751,233,O43353
9606.ENSP00000220764,234,Q16698
9606.ENSP00000220772,235,Q8N474
9606.ENSP00000220809,236,P00750
9606.ENSP00000220812,237,Q9UBT3
9606.ENSP00000220853,238,Q15006
9606.ENSP00000221114,239,O00399
9606.ENSP00000221130,240,P00390
9606.ENSP00000221132,241,O00220
9606.ENSP00000221233,242,Q9NQT4
9606.ENSP00000221418,243,Q13011
9606.ENSP00000221452,244,Q01201
9606.ENSP00000221459,245,Q9HAP6
9606.ENSP00000221476,246,P06732
9606.ENSP00000221496,247,P03971
9606.ENSP00000221498,248,Q9UK85
9606.ENSP00000221515,249,Q9HD89
9606.ENSP00000221561,250,Q08117
9606.ENSP00000221566,251,O43765
9606.ENSP00000221797,252,Q9UHV8
9606.ENSP00000221801,253,P22087
9606.ENSP00000221804,254,Q05315
9606.ENSP00000221847,255,Q14213
9606.ENSP00000221855,256,Q99426
9606.ENSP00000221859,257,P36954
9606.ENSP00000221891,258,P51693
9606.ENSP00000221922,259,Q9Y3X0
9606.ENSP00000221930,260,P01137
9606.ENSP00000221957,261,O60664
9606.ENSP00000221972,262,P11912
9606.ENSP00000221980,263,Q9UMF0
9606.ENSP00000222002,264,Q06520
9606.ENSP00000222005,265,Q16543
9606.ENSP00000222120,266,O95716
9606.ENSP00000222139,267,P19235
9606.ENSP00000222248,268,Q92911
9606.ENSP00000222256,269,P20336
9606.ENSP00000222271,270,P49747
9606.ENSP00000222286,271,O14556
9606.ENSP00000222305,272,Q15853
9606.ENSP00000222330,273,P49840
9606.ENSP00000222381,274,P27169
9606.ENSP00000222390,275,P14210
9606.ENSP00000222402,276,Q9Y2X8
9606.ENSP00000222462,277,Q9UBV4
9606.ENSP00000222481,278,P48052
9606.ENSP00000222482,279,Q9UI42
9606.ENSP00000222511,280,A4D1E9
9606.ENSP00000222543,281,P48307
9606.ENSP00000222553,282,P43490
9606.ENSP00000222644,283,Q9NZW5
9606.ENSP00000222693,284,P51636
9606.ENSP00000222726,285,P20719
9606.ENSP00000222803,286,Q9NWM8
9606.ENSP00000222812,287,Q16623
9606.ENSP00000222968,288,Q13442
9606.ENSP00000222990,289,Q9Y5X2
9606.ENSP00000223023,290,O00401
9606.ENSP00000223026,291,Q2M3T9
9606.ENSP00000223061,292,Q15113
9606.ENSP00000223095,293,P05121
9606.ENSP00000223127,294,O60568
9606.ENSP00000223136,295,Q9Y3D6
9606.ENSP00000223208,296,Q9BYV8
9606.ENSP00000223273,297,Q9NRH1
9606.ENSP00000223321,298,P25787
9606.ENSP00000223324,299,Q9BYC8
9606.ENSP00000223364,300,Q01449
9606.ENSP00000223366,301,P35557
9606.ENSP00000223641,302,P60468
9606.ENSP00000223642,303,P01031
9606.ENSP00000223795,304,P32971
9606.ENSP00000223836,305,P00568
9606.ENSP00000224073,306,O60869
9606.ENSP00000224337,307,Q8WV28
9606.ENSP00000224652,308,O95260
9606.ENSP00000224721,309,Q9H251
9606.ENSP00000225171,310,Q9UKB3
9606.ENSP00000225174,311,P30405
9606.ENSP00000225275,312,P05164
9606.ENSP00000225276,313,Q9UJ37
9606.ENSP00000225474,314,P09919
9606.ENSP00000225525,315,O14907
9606.ENSP00000225577,316,P23443
9606.ENSP00000225614,317,P51570
9606.ENSP00000225655,318,P07737
9606.ENSP00000225698,319,Q07021
9606.ENSP00000225719,320,O75976
9606.ENSP00000225724,321,O95249
9606.ENSP00000225831,322,P13500
9606.ENSP00000225842,323,P22362
9606.ENSP00000225844,324,Q99616
9606.ENSP00000225916,325,Q92830
9606.ENSP00000225927,326,P54802
9606.ENSP00000225929,327,P14061
9606.ENSP00000225941,328,Q9P2A4
9606.ENSP00000225964,329,P02452
9606.ENSP00000226004,330,P51452
9606.ENSP00000226067,331,Q16534
9606.ENSP00000226091,332,Q15768
9606.ENSP00000226193,333,P35243
9606.ENSP00000226218,334,P04004
9606.ENSP00000226225,335,Q13829
9606.ENSP00000226279,336,P28907
9606.ENSP00000226284,337,P21815
9606.ENSP00000226299,338,P28838
9606.ENSP00000226317,339,P80162
9606.ENSP00000226355,340,P43652
