UniProt,ENSP,source
Q96GD4,9606.ENSP00000313950,UniProt_AC
Q96GG9,9606.ENSP00000292782,Ensembl_HGNC_uniprot_ids
Q96GG9,9606.ENSP00000292782,Ensembl_UniProt
Q96GG9,9606.ENSP00000292782,UniProt_AC
Q96GK7,9606.ENSP00000233379,Ensembl_HGNC_uniprot_ids
Q96GK7,9606.ENSP00000233379,Ensembl_UniProt
Q96GK7,9606.ENSP00000233379,UniProt_AC
Q96GP6,9606.ENSP00000485276,Ensembl_HGNC_uniprot_ids
Q96GP6,9606.ENSP00000485276,Ensembl_UniProt
Q96GP6,9606.ENSP00000485276,UniProt_AC
Q96GT9,9606.ENSP00000286049,Ensembl_HGNC_uniprot_ids
Q96GT9,9606.ENSP00000286049,Ensembl_UniProt
Q96GT9,9606.ENSP00000286049,UniProt_AC
Q96GW7,9606.ENSP00000331210,Ensembl_HGNC_uniprot_ids
Q96GW7,9606.ENSP00000331210,Ensembl_UniProt
Q96GW7,9606.ENSP00000331210,UniProt_AC
Q96GX1,9606.ENSP00000304941,Ensembl_HGNC_uniprot_ids
Q96GX1,9606.ENSP00000304941,Ensembl_UniProt
Q96GX1,9606.ENSP00000304941,UniProt_AC
Q96H15,9606.ENSP00000274532,Ensembl_HGNC_uniprot_ids
Q96H15,9606.ENSP00000274532,Ensembl_UniProt
Q96H15,9606.ENSP00000274532,UniProt_AC
Q96H20,9606.ENSP00000421380,Ensembl_HGNC_uniprot_ids
Q96H20,9606.ENSP00000421380,Ensembl_UniProt
Q96H20,9606.ENSP00000421380,UniProt_AC
Q96H35,9606.ENSP00000409315,Ensembl_HGNC_uniprot_ids
Q96H35,9606.ENSP00000409315,Ensembl_UniProt
Q96H35,9606.ENSP00000409315,UniProt_AC
Q96HA8,9606.ENSP00000287387,Ensembl_UniProt
Q96HA8,9606.ENSP00000287387,UniProt_AC
Q96HC4,9606.ENSP00000480359,Ensembl_HGNC_uniprot_ids
Q96HC4,9606.ENSP00000480359,Ensembl_UniProt
Q96HD1,9606.ENSP00000321856,Ensembl_HGNC_uniprot_ids
Q96HD1,9606.ENSP00000321856,Ensembl_UniProt
Q96HD1,9606.ENSP00000321856,UniProt_AC
Q96HD9,9606.ENSP00000255082,Ensembl_HGNC_uniprot_ids
Q96HD9,9606.ENSP00000255082,Ensembl_UniProt
Q96HD9,9606.ENSP00000255082,UniProt_AC
Q96HE7,9606.ENSP00000379042,Ensembl_HGNC_uniprot_ids
Q96HE7,9606.ENSP00000379042,Ensembl_UniProt
Q96HE7,9606.ENSP00000379042,UniProt_AC
Q96HF1,9606.ENSP00000274063,Ensembl_HGNC_uniprot_ids
Q96HF1,9606.ENSP00000274063,Ensembl_UniProt
Q96HF1,9606.ENSP00000274063,UniProt_AC
Q96HG1,9606.ENSP00000328335,Ensembl_HGNC_uniprot_ids
Q96HG1,9606.ENSP00000328335,Ensembl_UniProt
Q96HG1,9606.ENSP00000328335,UniProt_AC
Q96HH9,9606.ENSP00000426120,Ensembl_HGNC_uniprot_ids
Q96HH9,9606.ENSP00000426120,Ensembl_UniProt
Q96HH9,9606.ENSP00000426120,UniProt_AC
Q96HT8,9606.ENSP00000318154,Ensembl_HGNC_uniprot_ids
Q96HT8,9606.ENSP00000318154,Ensembl_UniProt
Q96HT8,9606.ENSP00000318154,UniProt_AC
Q96HY6,9606.ENSP00000346483,Ensembl_HGNC_uniprot_ids
Q96HY6,9606.ENSP00000346483,Ensembl_UniProt
Q96HY6,9606.ENSP00000346483,UniProt_AC
Q96HZ4,9606.ENSP00000272937,Ensembl_HGNC_uniprot_ids
Q96HZ4,9606.ENSP00000272937,Ensembl_UniProt
Q96HZ4,9606.ENSP00000272937,UniProt_AC
Q96I15,9606.ENSP00000499199,Ensembl_HGNC_uniprot_ids
Q96I15,9606.ENSP00000499199,Ensembl_UniProt
Q96I15,9606.ENSP00000499199,UniProt_AC
Q96I24,9606.ENSP00000318177,Ensembl_HGNC_uniprot_ids
Q96I24,9606.ENSP00000318177,Ensembl_UniProt
Q96I24,9606.ENSP00000318177,UniProt_AC
Q96I25,9606.ENSP00000388638,Ensembl_HGNC_uniprot_ids
Q96I25,9606.ENSP00000388638,Ensembl_UniProt
Q96I25,9606.ENSP00000388638,UniProt_AC
Q96I59,9606.ENSP00000281038,Ensembl_HGNC_uniprot_ids
Q96I59,9606.ENSP00000281038,Ensembl_UniProt
Q96I59,9606.ENSP00000281038,UniProt_AC
Q96I82,9606.ENSP00000359219,Ensembl_HGNC_uniprot_ids
Q96I82,9606.ENSP00000359219,Ensembl_UniProt
Q96I82,9606.ENSP00000359219,UniProt_AC
Q96IJ6,9606.ENSP00000350949,Ensembl_HGNC_uniprot_ids
Q96IJ6,9606.ENSP00000350949,Ensembl_UniProt
Q96IJ6,9606.ENSP00000350949,UniProt_AC
Q96IQ7,9606.ENSP00000318684,Ensembl_HGNC_uniprot_ids
Q96IQ7,9606.ENSP00000318684,Ensembl_UniProt
Q96IQ7,9606.ENSP00000318684,UniProt_AC
Q96IU4,9606.ENSP00000420065,Ensembl_HGNC_uniprot_ids
Q96IU4,9606.ENSP00000420065,Ensembl_UniProt
Q96IU4,9606.ENSP00000420065,UniProt_AC
Q96IV6,9606.ENSP00000320604,Ensembl_HGNC_uniprot_ids
Q96IV6,9606.ENSP00000320604,Ensembl_UniProt
Q96IV6,9606.ENSP00000320604,UniProt_AC
Q96IW2,9606.ENSP00000446058,Ensembl_HGNC_uniprot_ids
Q96IW2,9606.ENSP00000446058,Ensembl_UniProt
Q96IW2,9606.ENSP00000446058,UniProt_AC
Q96IW7,9606.ENSP00000310521,Ensembl_HGNC_uniprot_ids
Q96IW7,9606.ENSP00000310521,Ensembl_UniProt
Q96IW7,9606.ENSP00000310521,UniProt_AC
Q96IY1,9606.ENSP00000355944,Ensembl_HGNC_uniprot_ids
Q96IY1,9606.ENSP00000355944,Ensembl_UniProt
Q96IY1,9606.ENSP00000355944,UniProt_AC
Q96IY4,9606.ENSP00000181383,Ensembl_HGNC_uniprot_ids
Q96IY4,9606.ENSP00000181383,Ensembl_UniProt
Q96IY4,9606.ENSP00000181383,UniProt_AC
Q96IZ0,9606.ENSP00000328088,Ensembl_HGNC_uniprot_ids
Q96IZ0,9606.ENSP00000328088,Ensembl_UniProt
Q96IZ0,9606.ENSP00000328088,UniProt_AC
Q96IZ5,9606.ENSP00000361557,Ensembl_HGNC_uniprot_ids
Q96IZ5,9606.ENSP00000361557,Ensembl_UniProt
Q96IZ5,9606.ENSP00000361557,UniProt_AC
Q96J02,9606.ENSP00000499786,Ensembl_HGNC_uniprot_ids
