,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
PFDN5,-0.015901092,2.2278318,-0.0031267102,2.3560712,-0.01320349,0.62252545,-0.018033136,0.42636222
GPI,0.012176132,2.4536548,-0.012106961,2.2922328,-0.000115121715,0.6007868,0.0029225142,0.48002586
PEBP1,0.011687089,2.589582,-0.014792256,2.4331472,0.0033710054,0.6075227,-0.0014505598,0.4882921
PSMA2,0.012271721,2.7462218,-0.0123622045,2.585186,0.005894788,0.6042207,0.00017976994,0.48387092
RAN,0.012719781,2.790168,-0.013919581,2.6221595,0.0071876617,0.6060703,-0.0009774787,0.48736018
RBM39,0.012128315,2.8493335,-0.016015733,2.6768806,0.008357335,0.60847807,-0.0019960494,0.4916055
NAPA,0.0135733355,2.5930963,-0.020659463,2.384675,0.0041307593,0.5992903,0.005367292,0.4948802
SPHK1,0.013269119,1.6727741,-0.029701699,1.4615743,-0.01489474,0.5756725,0.020760532,0.4860723
SPON1,0.038945053,2.8753817,-0.04995332,2.0997696,-0.047420595,0.6703081,0.07327195,0.62175256
TK1,0.015963437,2.2209654,-0.010642072,2.0768757,-0.004062866,0.5924114,0.0101917805,0.4671513
LCORL,0.012160528,2.93672,-0.012721065,2.7719088,0.010027905,0.61132795,-0.0042556506,0.48992312
TKT,0.012716912,2.4500222,-0.014125586,2.2892687,0.000117372256,0.5979391,0.004221262,0.4791742
TPI1,0.012756164,2.4218683,-0.013204681,2.2577689,-0.00044779386,0.5981581,0.004640256,0.47947237
DCTPP1,0.011522974,-0.117832035,0.008468244,0.042850345,-0.061900783,0.5284363,0.05976221,0.31471595
PTPN6,0.029406868,1.1489372,-0.029461678,0.728701,-0.0375887,0.5786627,0.051794972,0.51071805
AMN,0.014357239,2.3740246,-0.09112098,1.9701915,-0.00050899107,0.581568,0.027901664,0.5683368
CST2,0.007311236,1.2715431,-0.03965694,0.94782513,-0.025327574,0.5761269,0.0261182,0.5077875
BOC,0.07949262,-7.111518,0.123183765,-7.276678,-0.21700582,0.20439565,0.19145337,0.09725347
CLEC1B,0.01435734,-0.85464084,0.041660625,-0.65584666,-0.07880913,0.48434338,0.07005408,0.26723817
CRP,0.06456179,-1.2142541,-0.066360004,-2.100048,-0.09232046,0.4709947,0.14993495,0.54086304
ICAM1,0.051728316,-0.4275352,-0.030276936,-0.8086905,-0.0535914,0.49957237,0.07950492,0.44565243
DAPK2,0.015730456,2.2533393,-0.024911698,2.0247593,-0.002085328,0.5844715,0.013926231,0.4918746
GDF15,0.06755315,-2.7114487,-0.052467387,-4.935177,-0.23631538,0.63696814,0.22490914,0.8082783
INHBA|INHBB,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DHH,0.02113128,-4.670426,0.06709793,-4.616576,-0.16241716,0.33844823,0.136921,0.18896766
FGF12,0.07060363,0.3565593,-0.12404732,-0.5336724,-0.02723246,0.49826968,0.090830006,0.62508553
IFNL2,0.020639848,1.7722764,-0.019554943,1.466435,-0.008532957,0.5880514,0.0222329,0.50941896
MST1,0.016313912,-2.093405,0.0010744496,-2.237329,-0.10269463,0.42363214,0.10080736,0.33889186
SLPI,0.01885977,1.8516403,-0.016463907,1.6368442,-0.011197527,0.5786707,0.017699542,0.474307
ADAM12,0.1566668,-3.0467536,-0.14675772,-4.7723665,-0.077368885,0.35413456,0.21287404,0.70701563
BCL2L1,-0.002730553,1.9615159,0.0025009918,2.1257608,-0.014876609,0.64956766,-0.024932867,0.428348
CHST6,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
COLEC11,0.05337999,0.17044649,-0.010814957,-0.3044036,-0.040423673,0.50431865,0.085258946,0.46178198
ENPP7,0.014810845,1.6478299,-0.062411774,1.2572384,-0.013115308,0.56658846,0.037499405,0.5355374
ENTPD3,0.012941445,2.3955328,-0.013458101,2.230924,-0.0010295762,0.59638023,0.005091056,0.4786089
ENTPD5,0.012514239,2.5164506,-0.012269631,2.347034,0.002088086,0.60140526,0.0035598406,0.48357737
FCRL3,0.012357484,0.22106498,0.02038954,0.2279186,-0.051150154,0.49762964,0.037927628,0.35277158
HNRNPAB,0.009352464,2.8844597,-0.013587188,2.7519116,0.0084250495,0.6098444,-0.0064740544,0.48380956
LRRTM3,0.017035397,1.4765846,-0.030700698,1.1482878,-0.022779394,0.5955623,0.037867792,0.51799166
MFGE8,0.021670306,1.0190272,-0.014392536,0.8387122,-0.028620634,0.5624236,0.03437999,0.44375092
PCSK7,-0.00018886034,2.7086985,-0.025958586,2.6457698,0.0026635267,0.60123,-0.009040419,0.47387457
PDPK1,0.0285917,2.6642892,-0.03967263,2.1795673,-0.028101902,0.63762563,0.038255427,0.55001736
SIGLEC1,-0.002720223,-0.49218103,0.010251331,0.09475237,-0.07213407,0.6514034,0.008781797,0.28224355
SPHK2,0.0023408958,2.0173678,-0.016498018,2.0058644,-0.011222863,0.62912554,-0.008383494,0.46784008
TGM3,0.03663014,0.9885372,-0.0271364,0.60440385,-0.023671053,0.5380564,0.050236072,0.48452753
TPM2,0.02189836,2.0695426,-0.027194187,1.8151457,-0.00654196,0.5815326,0.018727452,0.49013218
C5|C6,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
IL11,0.015510775,0.9388422,-0.024633002,0.7146881,-0.027247507,0.57820815,0.026185155,0.4861699
MMP12,0.039566558,-0.01370582,-0.04551209,-0.5699628,-0.135505,0.64953893,0.12490798,0.4911766
