,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
RAD51C,0.014659034,2.75701,-0.014156856,2.5722857,0.00692928,0.60498524,0.00014842954,0.48903567
RALYL,0.01468135,2.8954222,-0.024965335,2.6592681,0.010092678,0.6091334,0.0029394072,0.5103254
RBMS1,0.026617002,1.8990263,-0.018175397,1.6088033,-0.0077851005,0.5773734,0.023660602,0.4876359
RGS13,0.018183831,2.086185,-0.035407323,1.922214,-0.0060237115,0.60167795,0.012804058,0.48822504
RIPK1,0.02014037,2.3907685,-0.023991585,2.107278,-0.011320294,0.6034831,0.019560367,0.5000506
RPL38,0.0123240575,2.5848854,-0.020886056,2.384456,0.0037646494,0.59986246,0.0045421086,0.4955393
MRPL10,0.014310988,2.846834,-0.024277352,2.6189811,0.0089710895,0.607289,0.0035082726,0.5069469
MRPL50,0.013066328,2.865593,-0.01917791,2.667672,0.009062935,0.6086549,9.847549e-05,0.49885958
EVI2A,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
LYPD8,0.040171564,1.8583596,-0.046179943,1.3708959,-0.00301318,0.5658888,0.038145214,0.54257333
KIRREL1,0.020050272,1.8925124,-0.019317063,1.6703796,-0.008775594,0.5869341,0.016877463,0.48682866
LDLRAD3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ADCYAP1R1,0.014797352,2.723099,-0.013520863,2.5203767,0.006797286,0.6027032,0.0037337223,0.49235073
DSG4,0.024771277,0.3933777,-0.020714477,0.21784762,-0.046724867,0.5333042,0.055959594,0.41656306
TGFBR1,0.015527884,1.483629,-0.007756296,1.31017,-0.018718258,0.59026444,0.015432742,0.4723765
PGA4,0.036057327,2.1229262,-0.04336099,1.6674132,0.0011167303,0.5770908,0.031361405,0.5421508
CD209,0.04480593,-0.37309566,-0.021925107,-0.6467534,-0.053570274,0.4931242,0.069561586,0.4160233
SIGLEC14,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ROBO2,0.014102345,2.10709,-0.017705027,1.9128404,-0.009212776,0.5962368,0.016041154,0.48288104
NRXN1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ULBP2,0.030058537,1.5977345,-0.027994726,1.2355225,-0.015919168,0.5715473,0.033157326,0.4997437
LRP6,0.018373523,2.3205729,-0.014110444,2.093573,-0.0010292241,0.596228,0.009732571,0.49004754
FZD4,0.022435274,2.0233314,-0.013301842,1.7609031,-0.0088099,0.5840592,0.023174059,0.4820965
BTN2A2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
EPHA6,0.027682984,1.1095034,-0.0103797,0.8596638,-0.025636863,0.5549221,0.03400412,0.4628536
ADGRB2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
FZD2,0.022435272,2.0233312,-0.013301844,1.7609031,-0.008809897,0.5840592,0.023174059,0.4820965
FZD1,0.021254217,2.2726693,-0.016014285,2.0173829,-0.0032360684,0.59172684,0.0163503,0.48910454
FZD9,0.029990073,1.836382,-0.020602593,1.4815543,-0.009528785,0.5757843,0.032557815,0.49875188
SLC25A38,0.013306811,2.328442,-0.013874767,2.1678445,-0.0015528407,0.5880014,0.0067052045,0.4736803
SAMD12,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SAMM50,0.019838477,2.5479648,-0.022252366,2.277754,0.0018605622,0.6020133,0.011222727,0.50345236
SDHB,0.01302808,2.6567104,-0.016924363,2.457852,0.0027607225,0.6051425,0.0038144726,0.49132967
TSEN34,0.010340981,2.6837666,-0.009998493,2.5541835,0.0050467197,0.6092199,-0.003406483,0.48118314
NR0B2,0.011747312,1.0294564,-0.024905987,0.85167444,-0.028974045,0.5562696,0.029425766,0.460685
SKP2,0.014503539,2.6113505,-0.0128411595,2.4388378,0.003824281,0.5996734,0.0027612625,0.48242784
SMCO1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TIMP2,0.025002856,0.932088,-0.046897627,0.3733389,-0.05750821,0.5966431,0.067982085,0.5510464
SPC25,0.0157118,2.8436759,-0.011996064,2.6472306,0.009087178,0.60860753,-0.00027168286,0.49271065
SPI1,0.019207656,1.9859384,-0.012898231,1.8767471,-0.008681158,0.605455,0.008727899,0.45768958
SPATA22,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SPATA46,0.0153609775,2.6442158,-0.012792945,2.4502258,0.005301728,0.6001903,0.0038061987,0.48795536
SPANXN3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SULT6B1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
WARS2,0.012963934,2.7623513,-0.01715218,2.5750053,0.0071736537,0.60608983,0.0009022888,0.49373025
GTF2A2,0.011320193,2.9228058,-0.011439817,2.7739263,0.009470151,0.6108036,-0.0053280415,0.4856045
TADA2A,0.015281487,2.7548163,-0.0139288455,2.5592153,0.007254257,0.6059412,0.0010122207,0.49127835
TADA1,0.016622707,2.6852295,-0.013114842,2.4838474,0.0061324444,0.60367596,0.0021470897,0.48920095
TAF12,0.013760405,2.783923,-0.013259986,2.6025987,0.007355797,0.607613,-0.00085456274,0.4897704
TAF8,0.011974103,2.9082613,-0.011988895,2.7477477,0.0094984025,0.61113626,-0.0043493425,0.4885761
TBC1D28,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TCAP,0.020442758,1.7097393,-0.027199853,1.4847286,-0.01492682,0.56958365,0.019458424,0.4765001
TERB2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TEX30,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
THAP11,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
THAP2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
THRB,0.01268216,2.6518805,-0.0135416165,2.4946668,0.0044370424,0.6094629,0.0007281138,0.4874823
TIMM23,0.017313108,2.5625463,-0.019739678,2.3188896,0.0031742095,0.59987223,0.009245781,0.49906084
TIPIN,0.014493816,2.4770324,-0.0113418475,2.3638363,0.0017177626,0.6117873,-0.0011718713,0.47283456
TMA16,0.01271575,2.7918234,-0.015122768,2.6097236,0.0076921787,0.6067003,-0.00030746986,0.49195102
TRAPPC6B,0.013677748,2.9335694,-0.013546005,2.7468226,0.010457923,0.6113723,-0.0022516318,0.49478588
FLJ44635,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TRIM27,-0.00809755,1.2983972,-0.011649784,1.3576713,-0.041644398,0.6358057,0.002482304,0.4302933
TRIM40,0.015444087,2.6895428,-0.017069958,2.4829478,0.0060892096,0.60286504,0.0032332337,0.49449062
TRIM54,0.019003259,2.3463862,-0.023931447,2.1024628,-0.00018825755,0.5907537,0.012772349,0.49654567
TRIM9,0.009894952,2.1876073,-0.04057007,0.93083715,-0.17486218,0.82517946,0.07702704,0.7545706
SLC25A1,0.014554946,2.7317019,-0.01158735,2.553957,0.006376366,0.6044518,0.0018444197,0.48585156
UNG,0.014858976,2.4668298,-0.015299257,2.2890074,0.0012247262,0.5937675,0.006567873,0.4806544
ATP6V1C2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
VHLL,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZBP1,0.011395666,2.584287,-0.017231476,2.4328556,0.0028517372,0.59850943,0.000514637,0.48098317
ZC3H8,0.013542689,2.9616482,-0.011479441,2.7837098,0.010923274,0.6125648,-0.003552032,0.4924122
ZCCHC18,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZDHHC4,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZNF230,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZNF263,0.013883289,2.9043095,-0.011395942,2.7268877,0.0097809415,0.6104491,-0.0021145868,0.49070305
ZNF696,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZNF69,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZSWIM7,0.013121913,2.8515198,-0.014760086,2.6740208,0.008540687,0.6083995,-0.0017989047,0.49121588
MRPS14,0.0119629465,2.8690186,-0.020573141,2.678033,0.008902739,0.6086975,-0.00070838747,0.4986453
STK4,0.0133764,1.9683712,-0.021281367,1.82036,-0.0093784975,0.59666157,0.014765106,0.47459257
MAPK6,0.019574419,2.3577187,-0.023597788,2.1282928,-1.9384082e-05,0.59741706,0.008192022,0.49696225
PPM1M,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DKK4,0.01781049,2.4619074,-0.017398192,2.2399359,0.001020171,0.5973059,0.009011531,0.49041155
FCGR2B,0.026656449,0.87845314,-0.020116689,0.60332626,-0.027678832,0.5494176,0.04164348,0.47053677
CCL7,0.012316816,0.7485244,-0.036855888,0.6547514,-0.03695359,0.5400723,0.041790474,0.43511748
CXCL2,0.014001632,1.407714,-0.030218478,1.2932172,-0.020684198,0.5676373,0.021312635,0.45859444
CXCL3,0.017247673,1.2424008,-0.031833578,1.108392,-0.023399785,0.5613577,0.02659166,0.45880154
HMGB2,0.013696816,2.3304029,-0.02105588,2.1359544,-0.0011429004,0.5909004,0.008559652,0.48733732
IGFBP2,-0.0028444503,0.525056,-0.013949761,0.36176795,-0.038001608,0.60608906,0.012957347,0.4945381
CCL22,0.021308322,1.8667847,-0.03796722,1.5949862,-0.010008806,0.5681558,0.025157806,0.49580467
NXPH1,-0.003520922,0.5511464,-0.0009698109,0.5839148,-0.039735246,0.54147017,0.030497042,0.38255408
SIRT2,0.010659711,2.2276196,-0.014503224,2.0549352,-0.004791488,0.6047645,0.0038865868,0.48947555
LIPG,0.020009007,-1.1694639,-0.030445814,-1.5154843,-0.120581165,0.50303257,0.109658666,0.42606738
TNFAIP1,0.013162965,2.8247488,-0.012225907,2.6597142,0.007907981,0.6083998,-0.0025620202,0.48663774
BIK,-0.0045965984,1.7183162,-0.0035135704,1.8998787,-0.020033084,0.65734935,-0.025091583,0.4315403
KCTD6,0.012447358,2.962672,-0.011331953,2.798098,0.010618401,0.61250454,-0.0046834843,0.4897862
MAP3K10,0.017795121,2.5759287,-0.0409358,2.18331,-0.011463414,0.61439025,0.030300273,0.5301924
MPC1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DAG1,0.029605478,1.196462,-0.05165799,0.6992976,-0.0301601,0.55099034,0.059779316,0.532609
HNMT,-0.067639396,-1.9111813,0.061962213,-0.65756124,-0.121168494,0.59166,0.015218323,0.04296434
LTK,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
RNF31,0.015453717,2.4471555,-0.018309934,2.2443373,0.0015249518,0.59276736,0.007669923,0.4882406
VCPIP1,0.014407765,2.551766,-0.016458591,2.35682,0.0032422221,0.5979825,0.0057031084,0.4886974
ART5,0.017352609,2.160461,-0.007278661,1.957001,-0.0038921982,0.57871604,0.01490804,0.4717446
SCPEP1,0.014431475,2.8049843,-0.050306857,2.4880092,0.008492292,0.6032635,0.012655845,0.5389511
ETV2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
EURL,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CFAP300,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
RGN,0.016226545,2.6010606,-0.019956125,2.3965788,0.004458507,0.5982007,0.004084321,0.49246424
TRIM62,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
C12orf76,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TIMM10B,0.019052293,2.22904,-0.036459498,1.8846812,-0.00047627045,0.58448994,0.02502584,0.52368397
SSNA1,0.0136484895,2.787133,-0.013477199,2.6060026,0.007676201,0.6070775,-0.00046056253,0.4907509
RPS25,0.012737306,2.6909418,-0.023143798,2.4879408,0.0056676003,0.601869,0.0034250328,0.498005
SPATC1L,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
BLOC1S1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
XAGE2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TCEAL4,0.01328101,2.9905982,-0.0112498775,2.8145776,0.011425701,0.6136787,-0.004164108,0.4927566
DNAJB3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
COMTD1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NDUFAF3,0.021582736,2.3089337,-0.0020938595,2.0947015,-0.0017020823,0.58992773,0.017486181,0.472844
RAB33A,0.021908551,2.4353945,-0.07988458,1.9703007,0.003347471,0.5860424,0.031405896,0.57584834
TLDC2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
COMMD10,0.020029772,2.3100302,-0.026410311,2.0264704,0.0005206163,0.5859991,0.017011484,0.505221
COA7,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
EEF1AKMT1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
C1orf50,0.01528414,2.2393537,-0.015186751,2.0615828,-0.003804775,0.5847698,0.013616487,0.4750393
CRYBB3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
KCTD15,0.03524466,3.5173643,-0.050598465,2.3867352,-0.066329546,0.7406422,0.09204177,0.7193246
MED10,0.013663836,2.949903,-0.010912282,2.7735128,0.010684954,0.61219025,-0.0033630265,0.49142703
TPD52L2,0.009085063,2.1019232,-0.007659934,2.031255,-0.009833175,0.57991123,0.0067407223,0.44425625
MITD1,0.014926329,2.5104148,-0.023283917,2.283262,0.0029065283,0.5958157,0.0084002055,0.49847013
FRG1,0.01328101,2.9905982,-0.011249876,2.8145776,0.011425703,0.61367863,-0.0041641043,0.4927566
CMTM4,0.008937095,2.1993804,-0.023954663,2.04448,-0.004938322,0.5832386,0.008711651,0.47692478
SPATA33,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
EBP,0.014316201,2.8161912,-0.020609444,2.592546,0.008474747,0.60822785,0.002688866,0.5039359
DPCD,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
C22orf23,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
EFCAB1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SSPN,0.017236019,2.340686,-0.011878941,2.1466117,-0.00094606867,0.59196985,0.011029902,0.47954053
C2orf68,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
MRPL12,0.0153530575,2.55586,-0.02413879,2.3227057,0.0037475417,0.5972707,0.008355716,0.5008046
AKIRIN2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ARL8A,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
RAB37,0.0029039348,2.5137186,-0.0067212046,2.5079944,-0.001933164,0.5923225,-0.0102568185,0.44066003
RAB43,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
LMO4,0.014732812,2.7730348,-0.009318003,2.5947475,0.0074333074,0.6051074,0.00031464524,0.48583457
KCTD2,0.012947995,2.9794426,-0.0112826675,2.8079941,0.011103212,0.6132096,-0.0043715825,0.49157
RNF141,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NDUFB6,0.0138383005,2.8402584,-0.010467395,2.6678588,0.008426702,0.6080098,-0.0011103724,0.4871616
LRRC20,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NEUROG1,0.0105587,2.9298606,-0.013190247,2.7840624,0.009410389,0.6109281,-0.005767435,0.48627385
SMN1,0.014446016,2.6080942,-0.009258829,2.4449158,0.0034201783,0.60056627,0.004019818,0.47837186
PID1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CEP112,0.02980356,1.0469666,0.0015640096,0.72237176,-0.024424773,0.53260016,0.049806725,0.45839503
CHAC1,0.03744829,1.96756,-0.031053174,1.5390422,-0.0075192535,0.5802294,0.032564163,0.52002096
MLX,0.013570018,2.9545915,-0.015596485,2.762483,0.010820147,0.6120033,-0.002181261,0.49754047
SFRP5,0.017409602,2.4559345,-0.010666372,2.2517254,0.0011713612,0.59608203,0.0090382565,0.4835564
THEM4,0.012545823,2.6129088,-0.024935652,2.4084566,0.004295731,0.59939665,0.0043713157,0.49869043
TPPP,0.008619159,2.2454448,-0.027143016,1.9411769,-0.0295378,0.6504624,0.015094373,0.54205394
CXCL12,0.014275573,1.0539049,-0.03319132,0.954852,-0.027727861,0.5605305,0.027557464,0.45161358
RBPMS2,0.009443078,1.8028265,-0.008714326,1.7481184,-0.015855663,0.580953,0.016856616,0.4394135
MSX2,0.02406783,1.8874664,-0.025474723,1.5778611,-0.008769182,0.5814326,0.023420645,0.50000715
AKT1S1,0.014379665,2.9365203,-0.020013852,2.7221856,0.010737054,0.6110395,9.2851e-05,0.5040552
TXNDC9,-0.02577254,1.2767016,-0.0038045286,1.4333466,-0.038822558,0.6129062,-0.008675369,0.40960062
NIPSNAP3B,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
REEP2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PMF1,0.015417922,2.7899342,-0.01055246,2.6063974,0.0077807102,0.60784125,0.00010430743,0.4882651
CLUAP1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
KCTD1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PSMC3IP,0.01399662,2.9554915,-0.01266128,2.7697446,0.01094846,0.6122351,-0.002937874,0.49454927
RAB38,0.014675915,2.747352,-0.013135785,2.5575356,0.007139523,0.6048594,0.0010959047,0.49020422
RPP25,0.008416839,2.6496685,-0.02116881,2.4742131,0.0033372527,0.6027617,0.0029548819,0.49185312
RABL3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CCDC103,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
FAM9B,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DHRS11,0.015342187,2.89475,-0.013243541,2.6970944,0.01008762,0.6098548,-0.0010881426,0.49532053
PCTP,0.009673145,2.3050375,-0.02584958,2.049129,-0.002278834,0.6014585,0.00992173,0.51113474
ZFAND2B,0.013925996,2.7742095,-0.014999844,2.583858,0.007390323,0.60724807,0.0007648396,0.49331123
MVB12B,0.00856012,2.4588795,-0.012296777,2.3123715,0.0011988697,0.6147416,-0.0042149387,0.4930304
INO80E,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
MSC,0.013248272,2.9715223,-0.010948151,2.7972717,0.011036575,0.61287177,-0.0039717406,0.49165452
DUPD1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HSPB3,0.015246598,1.9225934,-0.018079646,1.7024155,-0.08498623,0.741892,0.028012209,0.5018207
BMERB1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
GSTA2,0.014030846,1.7893499,-0.023147387,1.6092837,-0.013603806,0.5748755,0.017341752,0.4695106
BORCS5,0.0058334284,2.6146672,-0.027677264,2.4813282,0.0023525383,0.59839344,-0.0018389148,0.4860844
RAB4B,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
GUCD1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
LCE3C,0.02998073,1.9011401,-0.020389337,1.5798974,-0.0059609516,0.5739152,0.024189617,0.49433446
KCNRG,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
KCTD10,0.012725651,2.9719944,-0.011304555,2.8035994,0.010887897,0.61289644,-0.004510103,0.4907778
TCF24,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
MRI1,0.01335592,2.8479722,-0.012224106,2.668215,0.008839276,0.6086417,-0.0013319745,0.49081928
DMC1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ARRDC5,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ROGDI,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NECAB1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PCYT1A,0.021006005,2.3693008,-0.014912389,2.133543,0.001268232,0.5921903,0.011278842,0.489505
FAM118B,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PRMT1,0.028428748,2.7734125,-0.038638044,2.220756,-0.024694249,0.63824886,0.05499401,0.57945704
DTNBP1,0.00956013,2.4050937,-0.028531346,2.2111695,-0.0002514734,0.59174865,0.007676853,0.4939869
CRYBA2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CCDC24,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
FAM118A,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
WTAP,0.020431783,2.4795218,-0.01738683,2.1714296,-0.0104521075,0.613569,0.019435577,0.5091424
RBM4,0.012189836,2.8743458,-0.01450254,2.7030017,0.008938683,0.60913825,-0.0025595801,0.49112552
NT5C1A,0.014587969,1.5349447,-0.0111601185,1.4225017,-0.020793937,0.56799334,0.020008152,0.4412012
PCBP2,0.010318349,2.6871803,-0.0127845295,2.533131,0.00485816,0.61285126,-0.004731369,0.4904971
UCK1,0.014005892,2.1257591,-0.009075994,1.9561429,-0.004908067,0.58764565,0.014365551,0.471432
FNDC8,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
UBL7,0.013190491,2.7946002,-0.015340319,2.6120343,0.007602894,0.6071224,-0.0001424735,0.4919117
ANKRD40,0.01528414,2.2393537,-0.015186751,2.0615828,-0.003804775,0.5847698,0.013616487,0.4750393
PHYH,0.015162928,2.6308198,-0.02217321,2.432234,0.004633568,0.6024531,0.004180015,0.49538636
KCNAB3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NIF3L1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ERGIC1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DPH5,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NECAB3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
RFPL3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ARPC2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CGGBP1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
C16orf72,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
L3HYPDH,0.012080495,2.262817,-0.01492371,2.1102068,-0.003271849,0.5852423,0.007545813,0.47095272
SEPTIN1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
VCX3A,0.01332292,2.813701,-0.010613937,2.6464243,0.007835793,0.60640526,-0.0013760326,0.48555294
KCTD17,0.012947993,2.9794426,-0.011282666,2.8079941,0.01110321,0.6132096,-0.0043715825,0.49157
CASTOR1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TIPRL,0.013883866,2.7823503,-0.013323618,2.6024723,0.007494944,0.6054069,0.00011640298,0.48907167
FAHD2A,0.013358248,2.5917256,-0.018782215,2.381467,0.004453988,0.6022722,0.004638985,0.49757338
CCDC107,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
RP2,0.036124445,1.8946,-0.035541866,1.4341043,-0.0054690875,0.5749834,0.038266335,0.53122884
PLEKHA3,0.014683109,2.6472032,-0.008484669,2.5798168,0.0049513406,0.6217916,-0.0060398644,0.46766034
ABHD5,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
GAS2,0.009515701,1.6918281,-0.013910808,1.551714,-0.016806033,0.5762632,0.01976117,0.45931634
KHDRBS2,0.012027139,2.7605495,-0.011218054,2.6086257,0.00649418,0.6047822,-0.0018993185,0.4819811
TWF2,0.010478504,1.8370835,-0.0008116211,1.8169239,-0.013715281,0.59268796,0.01284675,0.42812064
POLR2M,0.01203565,2.8842945,-0.0126408525,2.7237875,0.009071982,0.60971195,-0.00392187,0.4880649
NUP35,0.013972109,2.7173212,-0.008746784,2.5544953,0.006155464,0.60669065,0.0010016363,0.483468
DAZAP1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
GDAP1L1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CDC42EP4,0.021535072,2.7305787,-0.027981054,2.2973201,-0.014613752,0.6298888,0.031777952,0.5282295
MAD2L2,0.048127044,1.5840088,-0.046116866,1.0225197,-0.009153259,0.55875975,0.046742402,0.54716897
HORMAD2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
RASSF5,0.005561311,0.16043723,0.014711427,0.58933383,-0.051013105,0.652321,-0.001619633,0.32528174
OLAH,0.01213394,2.2049236,-0.013817495,2.0993042,-0.0037480313,0.5978186,0.0074251126,0.468284
SNX16,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
