Protein,AD_beta,AD_logp,PD_beta,PD_logp
ANK2,-0.01005033585350145,-1.2640966223988355,0.06765864847381486,-0.18391397161369788
ANKMY2,-0.020202707317519466,-0.6200156664147833,-0.040821994520255166,-0.3285583448339415
ANKRA2,-0.040821994520255166,-4.692041463701174,0.19885085874516517,-0.5531991981000122
ANKRD54,0.08617769624105241,-0.23903688641021753,-0.01005033585350145,-2.0929237799815423
ANP32C,-0.09431067947124129,-1.0562682706135398,-0.12783337150988489,-0.8846704418816954
ANPEP,0.3920420877760237,-0.8612387637841186,0.08617769624105241,-6.945893378373235
ANXA1,0.09531017980432493,-1.3189701835284968,-0.12783337150988489,-1.2048659330466802
ANXA10,0.03922071315328133,-0.35111428310985954,0.009950330853168092,-1.2691411095136347
ANXA11,-0.020202707317519466,-1.879059259441144,-0.06187540371808753,-0.33736233584201636
ANXA2,0.10436001532424286,-1.451901920675462,-0.08338160893905101,-2.5686433608988
ANXA3,0.0,-0.4320345652323765,0.01980262729617973,-0.0731664336940478
ANXA4,-0.020202707317519466,-0.17052390042646354,0.009950330853168092,-0.3990565021607844
ANXA5,0.11332868530700327,-2.4203357279253384,-0.18632957819149348,-1.0720235860126803
AOC1,-0.06187540371808753,-1.3649742152494477,-0.07257069283483537,-0.983697182927413
AOC3,0.03922071315328133,-0.46108831304340553,-0.05129329438755058,-0.2966517291497429
AP1G2,-0.07257069283483537,-1.3093048426114688,-0.07257069283483537,-1.6123292683780146
AP2B1,-0.18632957819149348,-0.5468771746897235,-0.06187540371808753,-3.0269260187867477
AP3B1,-0.09431067947124129,-0.4306353408283731,-0.030459207484708574,-2.4570065894888273
AP3S2,-0.15082288973458366,-0.7589344511940588,-0.07257069283483537,-2.3788456495268093
APBB1IP,0.02955880224154443,-0.7911836449030211,-0.05129329438755058,-0.3559816000714383
APCS,-0.37106368139083207,-8.025917426894962,-0.4942963218147801,-6.699800089081897
APEX1,-0.05129329438755058,-0.5481774068575658,0.02955880224154443,-0.9259106704628588
APLP1,-0.06187540371808753,-1.1661632787372986,-0.06187540371808753,-0.9414828810871725
APOA1,-0.11653381625595151,-0.9799822225100349,-0.16251892949777494,-0.8380476934034419
APOA2,0.47000362924573563,-0.9486760017897096,0.08617769624105241,-19.000499239205308
APOA4,0.1570037488096647,-2.5414296627143425,-0.2484613592984996,-1.8825856157528753
APOB,0.131028262406404,-2.9960949193020125,-0.40047756659712525,-0.7809101781273838
APOBR,0.0769610411361284,-3.4525078130386486,-0.23572233352106983,-0.8683593554049601
APOC1,-0.2744368457017603,-1.0408030871364158,-0.11653381625595151,-3.89402833503095
APOD,0.1570037488096647,-0.68768755945124,0.0769610411361284,-2.7490488049669777
APOE,-0.7133498878774648,-0.05551759366311436,0.0,-71.66117541254853
APOF,-0.19845093872383832,-2.702085778685778,0.371563556432483,-1.5693170132237366
