Disease_category_ad,Disease_ad,Protein,Protein_definition_ad,NB_individual_ad,NB_case_ad,HR[95%CI]_ad,P_value_ad,Disease_category_pd,Disease_pd,Protein_definition_pd,NB_individual_pd,NB_case_pd,HR[95%CI]_pd,P_value_pd
Chapter VI Diseases of the nervous system,Alzheimer disease,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1,50307,647,1.01 [0.86-1.19],0.864748858,Chapter VI Diseases of the nervous system,Parkinson's disease,Calcium/calmodulin-dependent protein kinase kinase 1,50261,834,0.89 [0.77-1.03],0.129725748
Chapter VI Diseases of the nervous system,Alzheimer disease,CAMLG,Guided entry of tail-anchored proteins factor CAMLG,43561,559,0.88 [0.75-1.03],0.111833184,Chapter VI Diseases of the nervous system,Parkinson's disease,Guided entry of tail-anchored proteins factor CAMLG,43517,414,0.81 [0.67-0.99],0.034511702
Chapter VI Diseases of the nervous system,Alzheimer disease,CAMSAP1,Calmodulin-regulated spectrin-associated protein 1,44708,575,0.92 [0.85-0.99],0.035421325,Chapter VI Diseases of the nervous system,Parkinson's disease,Calmodulin-regulated spectrin-associated protein 1,44664,422,0.95 [0.87-1.03],0.224967271
Chapter VI Diseases of the nervous system,Alzheimer disease,CANT1,Soluble calcium-activated nucleotidase 1,51364,658,0.77 [0.55-1.08],0.126380809,Chapter VI Diseases of the nervous system,Parkinson's disease,Soluble calcium-activated nucleotidase 1,51320,833,0.61 [0.45-0.83],0.001588583
Chapter VI Diseases of the nervous system,Alzheimer disease,CAPG,Macrophage-capping protein,51138,659,1.08 [0.96-1.21],0.206714086,Chapter VI Diseases of the nervous system,Parkinson's disease,Macrophage-capping protein,51093,838,1.04 [0.94-1.15],0.463298606
Chapter VI Diseases of the nervous system,Alzheimer disease,CAPN3,Calpain-3,44579,573,0.98 [0.79-1.21],0.830228082,Chapter VI Diseases of the nervous system,Parkinson's disease,Calpain-3,44535,422,0.82 [0.63-1.08],0.156784326
Chapter VI Diseases of the nervous system,Alzheimer disease,CAPS,Calcyphosin,44681,576,0.97 [0.89-1.05],0.419143647,Chapter VI Diseases of the nervous system,Parkinson's disease,Calcyphosin,44637,419,0.95 [0.86-1.06],0.377080943
Chapter VI Diseases of the nervous system,Alzheimer disease,CARHSP1,Calcium-regulated heat-stable protein 1,50313,641,1.00 [0.88-1.14],0.999256256,Chapter VI Diseases of the nervous system,Parkinson's disease,Calcium-regulated heat-stable protein 1,50268,833,1.03 [0.92-1.16],0.633425011
Chapter VI Diseases of the nervous system,Alzheimer disease,CASC3,Protein CASC3,43561,559,0.75 [0.60-0.92],0.005607565,Chapter VI Diseases of the nervous system,Parkinson's disease,Protein CASC3,43517,414,0.80 [0.63-1.02],0.069912109
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP1,Caspase-1,50313,641,1.01 [0.91-1.11],0.909949362,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-1,50268,833,0.99 [0.91-1.09],0.908853992
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP10,Caspase-10,50313,641,1.01 [0.92-1.12],0.824020944,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-10,50268,833,1.01 [0.92-1.10],0.907881427
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP2,Caspase-2,51445,655,1.01 [0.92-1.12],0.793111718,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-2,51399,849,1.10 [1.00-1.20],0.041629796
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP3,Caspase-3,52156,670,0.99 [0.92-1.07],0.853329657,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-3,52112,860,0.99 [0.92-1.06],0.774898861
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP4,Caspase-4,43973,571,1.01 [0.96-1.06],0.753440571,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-4,43931,414,1.02 [0.96-1.08],0.53126411
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP7,Caspase-7,44681,576,0.96 [0.87-1.06],0.389338922,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-7,44637,419,0.94 [0.84-1.05],0.27702397
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP8,Caspase-8,51807,664,0.97 [0.87-1.09],0.641727286,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-8,51761,853,1.06 [0.97-1.17],0.210525717
Chapter VI Diseases of the nervous system,Alzheimer disease,CASP9,Caspase-9,43494,565,0.90 [0.78-1.03],0.122054133,Chapter VI Diseases of the nervous system,Parkinson's disease,Caspase-9,43449,414,1.14 [0.98-1.32],0.082988066
Chapter VI Diseases of the nervous system,Alzheimer disease,CASQ2,Calsequestrin-2,43319,555,0.88 [0.73-1.06],0.18205436,Chapter VI Diseases of the nervous system,Parkinson's disease,Calsequestrin-2,43276,405,1.04 [0.85-1.26],0.708387067
Chapter VI Diseases of the nervous system,Alzheimer disease,CAT,Catalase,44159,567,1.06 [0.92-1.22],0.434729049,Chapter VI Diseases of the nervous system,Parkinson's disease,Catalase,44118,415,1.02 [0.86-1.20],0.862892924
Chapter VI Diseases of the nervous system,Alzheimer disease,CBLIF,Cobalamin binding intrinsic factor,51444,657,0.91 [0.84-0.99],0.027445546,Chapter VI Diseases of the nervous system,Parkinson's disease,Cobalamin binding intrinsic factor,51400,847,0.90 [0.84-0.97],0.007918435
Chapter VI Diseases of the nervous system,Alzheimer disease,CBLN1,Cerebellin-1,43345,561,0.99 [0.91-1.08],0.83516127,Chapter VI Diseases of the nervous system,Parkinson's disease,Cerebellin-1,43303,408,0.94 [0.84-1.05],0.268720068
Chapter VI Diseases of the nervous system,Alzheimer disease,CBLN4,Cerebellin-4,51958,666,0.90 [0.73-1.12],0.341148543,Chapter VI Diseases of the nervous system,Parkinson's disease,Cerebellin-4,51912,855,0.92 [0.77-1.12],0.412285675
Chapter VI Diseases of the nervous system,Alzheimer disease,CBS,Cystathionine beta-synthase,43598,560,0.99 [0.84-1.17],0.925727463,Chapter VI Diseases of the nervous system,Parkinson's disease,Cystathionine beta-synthase,43557,401,0.84 [0.69-1.03],0.099136644
Chapter VI Diseases of the nervous system,Alzheimer disease,CBX2,Chromobox protein homolog 2,43319,555,1.17 [0.99-1.39],0.073007134,Chapter VI Diseases of the nervous system,Parkinson's disease,Chromobox protein homolog 2,43276,405,1.19 [0.97-1.46],0.096110719
Chapter VI Diseases of the nervous system,Alzheimer disease,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,51120,649,0.96 [0.87-1.05],0.355283938,Chapter VI Diseases of the nervous system,Parkinson's disease,Coiled-coil and C2 domain-containing protein 1A,51073,838,1.00 [0.92-1.09],0.975141681
Chapter VI Diseases of the nervous system,Alzheimer disease,CCAR2,Cell cycle and apoptosis regulator protein 2,44681,576,0.96 [0.82-1.11],0.564680719,Chapter VI Diseases of the nervous system,Parkinson's disease,Cell cycle and apoptosis regulator protein 2,44637,419,1.00 [0.85-1.18],0.991513581
Chapter VI Diseases of the nervous system,Alzheimer disease,CCDC134,Coiled-coil domain-containing protein 134,44579,573,0.88 [0.74-1.04],0.128335769,Chapter VI Diseases of the nervous system,Parkinson's disease,Coiled-coil domain-containing protein 134,44535,422,0.87 [0.71-1.06],0.153571819
Chapter VI Diseases of the nervous system,Alzheimer disease,CCDC28A,Coiled-coil domain-containing protein 28A,43561,559,0.94 [0.71-1.24],0.664412032,Chapter VI Diseases of the nervous system,Parkinson's disease,Coiled-coil domain-containing protein 28A,43517,414,0.92 [0.67-1.26],0.598315704
Chapter VI Diseases of the nervous system,Alzheimer disease,CCDC50,Coiled-coil domain-containing protein 50,44708,575,0.92 [0.82-1.02],0.123687915,Chapter VI Diseases of the nervous system,Parkinson's disease,Coiled-coil domain-containing protein 50,44664,422,0.94 [0.83-1.07],0.324880257
Chapter VI Diseases of the nervous system,Alzheimer disease,CCDC80,Coiled-coil domain-containing protein 80,51520,659,1.22 [1.02-1.46],0.031865342,Chapter VI Diseases of the nervous system,Parkinson's disease,Coiled-coil domain-containing protein 80,51476,849,0.95 [0.81-1.13],0.580839113
Chapter VI Diseases of the nervous system,Alzheimer disease,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,43598,560,1.12 [0.98-1.27],0.085008072,Chapter VI Diseases of the nervous system,Parkinson's disease,Coiled-coil domain-containing glutamate-rich protein 2,43557,401,1.03 [0.88-1.20],0.725552175
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL11,Eotaxin,52083,662,1.10 [0.91-1.32],0.33289833,Chapter VI Diseases of the nervous system,Parkinson's disease,Eotaxin,52037,862,1.01 [0.86-1.19],0.87746515
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL13,C-C motif chemokine 13,51998,660,0.92 [0.83-1.01],0.093837321,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 13,51952,861,0.99 [0.90-1.07],0.740431382
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL14,C-C motif chemokine 14,51389,658,1.08 [0.91-1.27],0.394360682,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 14,51344,855,1.08 [0.93-1.25],0.329733536
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL15,C-C motif chemokine 15,52156,670,1.09 [0.94-1.27],0.250711242,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 15,52112,860,1.08 [0.94-1.23],0.272728725
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL16,C-C motif chemokine 16,52156,670,1.01 [0.89-1.15],0.865941282,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 16,52112,860,0.87 [0.78-0.97],0.01403621
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL17,C-C motif chemokine 17,51405,658,1.00 [0.93-1.08],0.931193456,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 17,51359,851,1.02 [0.95-1.09],0.595552054
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL18,C-C motif chemokine 18,50818,652,1.01 [0.91-1.12],0.826717781,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 18,50773,830,0.92 [0.84-1.02],0.100168997
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL19,C-C motif chemokine 19,51972,664,1.05 [1.00-1.11],0.034498687,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 19,51926,855,1.05 [1.00-1.10],0.041947264
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL2,C-C motif chemokine 2,51035,648,0.84 [0.74-0.96],0.010978479,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 2,50988,838,1.00 [0.90-1.13],0.933885175
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL20,C-C motif chemokine 20,52083,662,1.00 [0.93-1.08],0.981578639,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 20,52037,862,0.99 [0.92-1.06],0.690913423
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL21,C-C motif chemokine 21,51742,665,1.07 [0.92-1.26],0.371253791,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 21,51696,854,0.86 [0.73-1.00],0.053742626
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL22,C-C motif chemokine 22,50991,652,0.93 [0.81-1.06],0.271117673,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 22,50945,846,0.93 [0.83-1.04],0.217395298
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL23,C-C motif chemokine 23,51742,665,0.95 [0.81-1.12],0.537820576,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 23,51696,854,0.80 [0.69-0.93],0.003008753
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL24,C-C motif chemokine 24,51658,663,0.97 [0.89-1.05],0.425650533,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 24,51612,853,0.99 [0.92-1.07],0.822360679
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL25,C-C motif chemokine 25,52083,662,1.08 [0.94-1.25],0.294041412,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 25,52037,862,1.14 [1.01-1.30],0.032072854
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL26,C-C motif chemokine 26,51445,655,1.03 [0.96-1.11],0.428750297,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 26,51399,849,1.01 [0.95-1.08],0.704904679
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL27,C-C motif chemokine 27,51520,659,0.90 [0.80-1.01],0.069795935,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 27,51476,849,0.76 [0.69-0.84],5.46e-08
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL28,C-C motif chemokine 28,51276,651,0.95 [0.84-1.07],0.401961746,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 28,51230,848,1.02 [0.92-1.13],0.741128539
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL3,C-C motif chemokine 3,51445,655,0.96 [0.85-1.09],0.500363876,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 3,51399,849,1.07 [0.98-1.18],0.143165263
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL4,C-C motif chemokine 4,51574,662,0.93 [0.84-1.03],0.182817079,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 4,51528,853,1.06 [0.97-1.15],0.172755608
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL5,C-C motif chemokine 5,51726,664,1.00 [0.94-1.07],0.951584584,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 5,51681,860,0.98 [0.92-1.04],0.463168952
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL7,C-C motif chemokine 7,51445,655,0.95 [0.84-1.07],0.416585017,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 7,51399,849,1.05 [0.94-1.16],0.388143307
Chapter VI Diseases of the nervous system,Alzheimer disease,CCL8,C-C motif chemokine 8,51884,666,0.92 [0.82-1.03],0.148409592,Chapter VI Diseases of the nervous system,Parkinson's disease,C-C motif chemokine 8,51838,854,0.96 [0.87-1.06],0.421478286
Chapter VI Diseases of the nervous system,Alzheimer disease,CCN1,CCN family member 1,51198,658,0.98 [0.89-1.08],0.671403448,Chapter VI Diseases of the nervous system,Parkinson's disease,CCN family member 1,51153,846,0.91 [0.84-0.99],0.022075122
Chapter VI Diseases of the nervous system,Alzheimer disease,CCN2,CCN family member 2,51489,661,1.03 [0.91-1.17],0.597249998,Chapter VI Diseases of the nervous system,Parkinson's disease,CCN family member 2,51443,851,1.03 [0.92-1.14],0.628589811
Chapter VI Diseases of the nervous system,Alzheimer disease,CCN3,CCN family member 3,52071,668,1.07 [0.88-1.31],0.503096919,Chapter VI Diseases of the nervous system,Parkinson's disease,CCN family member 3,52027,859,0.81 [0.67-0.97],0.020612969
Chapter VI Diseases of the nervous system,Alzheimer disease,CCN4,CCN family member 4,51958,666,1.08 [0.91-1.28],0.377492578,Chapter VI Diseases of the nervous system,Parkinson's disease,CCN family member 4,51912,855,0.97 [0.83-1.13],0.660976017
Chapter VI Diseases of the nervous system,Alzheimer disease,CCN5,CCN family member 5,51533,659,1.20 [1.00-1.43],0.047271871,Chapter VI Diseases of the nervous system,Parkinson's disease,CCN family member 5,51486,848,1.00 [0.86-1.18],0.964471849
Chapter VI Diseases of the nervous system,Alzheimer disease,CCND2,G1/S-specific cyclin-D2,43973,571,1.12 [0.90-1.39],0.328500576,Chapter VI Diseases of the nervous system,Parkinson's disease,G1/S-specific cyclin-D2,43931,414,0.66 [0.55-0.80],1.72e-05
Chapter VI Diseases of the nervous system,Alzheimer disease,CCNE1,G1/S-specific cyclin-E1,43494,565,0.98 [0.90-1.08],0.740534967,Chapter VI Diseases of the nervous system,Parkinson's disease,G1/S-specific cyclin-E1,43449,414,1.05 [0.96-1.15],0.309579307
Chapter VI Diseases of the nervous system,Alzheimer disease,CCS,Copper chaperone for superoxide dismutase,51120,649,0.89 [0.77-1.03],0.129914977,Chapter VI Diseases of the nervous system,Parkinson's disease,Copper chaperone for superoxide dismutase,51073,838,1.00 [0.88-1.13],0.965457313
Chapter VI Diseases of the nervous system,Alzheimer disease,CCT5,T-complex protein 1 subunit epsilon,50307,647,0.97 [0.83-1.14],0.704409152,Chapter VI Diseases of the nervous system,Parkinson's disease,T-complex protein 1 subunit epsilon,50261,834,1.04 [0.91-1.19],0.590566977
Chapter VI Diseases of the nervous system,Alzheimer disease,CD101,Immunoglobulin superfamily member 2,44598,575,0.94 [0.79-1.13],0.534541052,Chapter VI Diseases of the nervous system,Parkinson's disease,Immunoglobulin superfamily member 2,44554,423,1.01 [0.82-1.26],0.902349266
Chapter VI Diseases of the nervous system,Alzheimer disease,CD109,CD109 antigen,51533,659,1.16 [0.94-1.43],0.162225596,Chapter VI Diseases of the nervous system,Parkinson's disease,CD109 antigen,51486,848,0.82 [0.68-0.98],0.028248753
Chapter VI Diseases of the nervous system,Alzheimer disease,CD14,Monocyte differentiation antigen CD14,50478,644,1.04 [0.87-1.23],0.670487758,Chapter VI Diseases of the nervous system,Parkinson's disease,Monocyte differentiation antigen CD14,50435,841,0.94 [0.81-1.09],0.400043321
Chapter VI Diseases of the nervous system,Alzheimer disease,CD160,CD160 antigen,52083,662,1.04 [0.90-1.19],0.627655988,Chapter VI Diseases of the nervous system,Parkinson's disease,CD160 antigen,52037,862,1.01 [0.89-1.14],0.885813775
Chapter VI Diseases of the nervous system,Alzheimer disease,CD163,Scavenger receptor cysteine-rich type 1 protein M130,51726,664,1.08 [0.92-1.27],0.344483967,Chapter VI Diseases of the nervous system,Parkinson's disease,Scavenger receptor cysteine-rich type 1 protein M130,51681,860,1.00 [0.87-1.15],0.957435126
Chapter VI Diseases of the nervous system,Alzheimer disease,CD164,Sialomucin core protein 24,51533,659,1.01 [0.78-1.30],0.942239644,Chapter VI Diseases of the nervous system,Parkinson's disease,Sialomucin core protein 24,51486,848,0.97 [0.77-1.23],0.819417307
Chapter VI Diseases of the nervous system,Alzheimer disease,CD164L2,CD164 sialomucin-like 2 protein,43561,559,0.94 [0.75-1.17],0.574320353,Chapter VI Diseases of the nervous system,Parkinson's disease,CD164 sialomucin-like 2 protein,43517,414,0.87 [0.67-1.14],0.31946112
Chapter VI Diseases of the nervous system,Alzheimer disease,CD177,CD177 antigen,51448,658,0.97 [0.93-1.03],0.328022262,Chapter VI Diseases of the nervous system,Parkinson's disease,CD177 antigen,51401,847,1.01 [0.96-1.06],0.747957018
Chapter VI Diseases of the nervous system,Alzheimer disease,CD1C,T-cell surface glycoprotein CD1c,51678,662,0.93 [0.71-1.23],0.614539979,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell surface glycoprotein CD1c,51632,850,0.85 [0.67-1.08],0.1856447
Chapter VI Diseases of the nervous system,Alzheimer disease,CD2,T-cell surface antigen CD2,43319,555,1.09 [0.89-1.32],0.415231396,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell surface antigen CD2,43276,405,1.26 [1.03-1.53],0.022704515
Chapter VI Diseases of the nervous system,Alzheimer disease,CD200,OX-2 membrane glycoprotein,51445,655,1.00 [0.77-1.30],0.989424717,Chapter VI Diseases of the nervous system,Parkinson's disease,OX-2 membrane glycoprotein,51399,849,0.82 [0.65-1.03],0.08185834
Chapter VI Diseases of the nervous system,Alzheimer disease,CD200R1,Cell surface glycoprotein CD200 receptor 1,51276,651,0.83 [0.68-1.02],0.072332258,Chapter VI Diseases of the nervous system,Parkinson's disease,Cell surface glycoprotein CD200 receptor 1,51230,847,0.81 [0.68-0.96],0.017102505
Chapter VI Diseases of the nervous system,Alzheimer disease,CD207,C-type lectin domain family 4 member K,50396,642,1.17 [0.97-1.39],0.09341615,Chapter VI Diseases of the nervous system,Parkinson's disease,C-type lectin domain family 4 member K,50353,836,0.91 [0.78-1.07],0.249287657
Chapter VI Diseases of the nervous system,Alzheimer disease,CD209,CD209 antigen,51652,663,0.91 [0.76-1.09],0.307066193,Chapter VI Diseases of the nervous system,Parkinson's disease,CD209 antigen,51609,851,0.59 [0.51-0.70],2.13e-10
Chapter VI Diseases of the nervous system,Alzheimer disease,CD22,B-cell receptor CD22,52083,662,1.02 [0.87-1.20],0.776260986,Chapter VI Diseases of the nervous system,Parkinson's disease,B-cell receptor CD22,52037,862,0.80 [0.70-0.93],0.002471134
Chapter VI Diseases of the nervous system,Alzheimer disease,CD226,CD226 antigen,43494,565,1.00 [0.83-1.22],0.959375431,Chapter VI Diseases of the nervous system,Parkinson's disease,CD226 antigen,43449,414,0.97 [0.78-1.22],0.823210589
Chapter VI Diseases of the nervous system,Alzheimer disease,CD244,Natural killer cell receptor 2B4,52083,662,1.46 [1.14-1.87],0.002915077,Chapter VI Diseases of the nervous system,Parkinson's disease,Natural killer cell receptor 2B4,52037,862,1.03 [0.83-1.28],0.802969049
Chapter VI Diseases of the nervous system,Alzheimer disease,CD248,Endosialin,44792,582,1.03 [0.85-1.26],0.734108569,Chapter VI Diseases of the nervous system,Parkinson's disease,Endosialin,44748,420,0.61 [0.49-0.77],3.48e-05
Chapter VI Diseases of the nervous system,Alzheimer disease,CD27,CD27 antigen,51678,662,1.10 [0.93-1.29],0.257901982,Chapter VI Diseases of the nervous system,Parkinson's disease,CD27 antigen,51632,850,0.95 [0.82-1.09],0.456871241
Chapter VI Diseases of the nervous system,Alzheimer disease,CD274,Programmed cell death 1 ligand 1,51120,649,0.99 [0.81-1.22],0.944642146,Chapter VI Diseases of the nervous system,Parkinson's disease,Programmed cell death 1 ligand 1,51073,838,1.04 [0.87-1.24],0.693069743
Chapter VI Diseases of the nervous system,Alzheimer disease,CD276,CD276 antigen,51488,659,1.33 [1.10-1.62],0.004001393,Chapter VI Diseases of the nervous system,Parkinson's disease,CD276 antigen,51442,852,1.54 [1.30-1.83],7.45e-07
Chapter VI Diseases of the nervous system,Alzheimer disease,CD28,T-cell-specific surface glycoprotein CD28,50307,647,1.06 [0.88-1.28],0.509678394,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell-specific surface glycoprotein CD28,50261,834,0.90 [0.76-1.06],0.214518781
Chapter VI Diseases of the nervous system,Alzheimer disease,CD2AP,CD2-associated protein,51520,659,0.95 [0.85-1.06],0.329528166,Chapter VI Diseases of the nervous system,Parkinson's disease,CD2-associated protein,51476,849,1.00 [0.91-1.10],0.962027951
Chapter VI Diseases of the nervous system,Alzheimer disease,CD300A,CMRF35-like molecule 8,43810,566,1.34 [1.03-1.74],0.031719123,Chapter VI Diseases of the nervous system,Parkinson's disease,CMRF35-like molecule 8,43766,407,0.86 [0.63-1.18],0.351221288
Chapter VI Diseases of the nervous system,Alzheimer disease,CD300C,CMRF35-like molecule 6,51972,664,1.20 [0.99-1.46],0.056352297,Chapter VI Diseases of the nervous system,Parkinson's disease,CMRF35-like molecule 6,51926,855,1.04 [0.88-1.23],0.652744181
Chapter VI Diseases of the nervous system,Alzheimer disease,CD300E,CMRF35-like molecule 2,51791,659,1.05 [0.89-1.24],0.552010197,Chapter VI Diseases of the nervous system,Parkinson's disease,CMRF35-like molecule 2,51745,854,0.85 [0.73-0.98],0.030648756
Chapter VI Diseases of the nervous system,Alzheimer disease,CD300LF,CMRF35-like molecule 1,51958,666,1.08 [0.96-1.21],0.203639281,Chapter VI Diseases of the nervous system,Parkinson's disease,CMRF35-like molecule 1,51912,855,0.95 [0.86-1.05],0.286694069
Chapter VI Diseases of the nervous system,Alzheimer disease,CD300LG,CMRF35-like molecule 9,51533,659,1.09 [0.91-1.30],0.357454733,Chapter VI Diseases of the nervous system,Parkinson's disease,CMRF35-like molecule 9,51486,848,0.95 [0.81-1.11],0.50198311
Chapter VI Diseases of the nervous system,Alzheimer disease,CD302,CD302 antigen,51282,658,1.32 [1.06-1.64],0.013506785,Chapter VI Diseases of the nervous system,Parkinson's disease,CD302 antigen,51237,847,1.02 [0.84-1.24],0.869349726
Chapter VI Diseases of the nervous system,Alzheimer disease,CD33,Myeloid cell surface antigen CD33,51678,662,1.08 [0.99-1.18],0.080142407,Chapter VI Diseases of the nervous system,Parkinson's disease,Myeloid cell surface antigen CD33,51632,850,0.94 [0.87-1.01],0.074145573
Chapter VI Diseases of the nervous system,Alzheimer disease,CD34,Hematopoietic progenitor cell antigen CD34,51808,663,1.14 [0.86-1.52],0.367817677,Chapter VI Diseases of the nervous system,Parkinson's disease,Hematopoietic progenitor cell antigen CD34,51762,852,0.66 [0.51-0.85],0.001294045
Chapter VI Diseases of the nervous system,Alzheimer disease,CD36,Platelet glycoprotein 4,43494,565,0.92 [0.77-1.11],0.382452032,Chapter VI Diseases of the nervous system,Parkinson's disease,Platelet glycoprotein 4,43449,414,0.99 [0.80-1.22],0.914220902
Chapter VI Diseases of the nervous system,Alzheimer disease,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,51282,658,0.94 [0.76-1.16],0.549772641,Chapter VI Diseases of the nervous system,Parkinson's disease,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,51237,847,0.85 [0.70-1.02],0.084542845
Chapter VI Diseases of the nervous system,Alzheimer disease,CD3D,T-cell surface glycoprotein CD3 delta chain,43345,561,1.03 [0.82-1.29],0.810614532,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell surface glycoprotein CD3 delta chain,43303,408,0.86 [0.64-1.17],0.339809343
Chapter VI Diseases of the nervous system,Alzheimer disease,CD3E,T-cell surface glycoprotein CD3 epsilon chain,43973,571,0.75 [0.58-0.97],0.030504215,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell surface glycoprotein CD3 epsilon chain,43931,414,1.09 [0.85-1.39],0.491049294
Chapter VI Diseases of the nervous system,Alzheimer disease,CD3G,T-cell surface glycoprotein CD3 gamma chain,43494,565,1.01 [0.92-1.10],0.859240803,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell surface glycoprotein CD3 gamma chain,43449,414,1.03 [0.93-1.14],0.553407508
Chapter VI Diseases of the nervous system,Alzheimer disease,CD4,T-cell surface glycoprotein CD4,51361,654,1.05 [0.84-1.31],0.684082258,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell surface glycoprotein CD4,51315,848,0.90 [0.73-1.11],0.32173485
Chapter VI Diseases of the nervous system,Alzheimer disease,CD40,Tumor necrosis factor receptor superfamily member 5,51490,660,1.01 [0.88-1.16],0.903024161,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 5,51444,852,0.96 [0.85-1.09],0.567159068
Chapter VI Diseases of the nervous system,Alzheimer disease,CD40LG,CD40 ligand,52083,662,0.98 [0.90-1.07],0.598884991,Chapter VI Diseases of the nervous system,Parkinson's disease,CD40 ligand,52037,862,0.99 [0.91-1.06],0.7282235
Chapter VI Diseases of the nervous system,Alzheimer disease,CD46,Membrane cofactor protein,51221,657,1.02 [0.80-1.30],0.896329205,Chapter VI Diseases of the nervous system,Parkinson's disease,Membrane cofactor protein,51176,854,0.73 [0.59-0.91],0.005167524
Chapter VI Diseases of the nervous system,Alzheimer disease,CD48,CD48 antigen,51658,663,1.30 [1.04-1.62],0.022634987,Chapter VI Diseases of the nervous system,Parkinson's disease,CD48 antigen,51612,853,0.98 [0.80-1.20],0.86316759
Chapter VI Diseases of the nervous system,Alzheimer disease,CD5,T-cell surface glycoprotein CD5,51884,666,1.10 [0.91-1.33],0.325588917,Chapter VI Diseases of the nervous system,Parkinson's disease,T-cell surface glycoprotein CD5,51838,854,0.86 [0.72-1.02],0.081296726
