src,dst,weight,combined_score
23,3929,0.7847847847847848,784.0
23,5198,0.7827827827827828,782.0
23,1498,0.7777777777777778,777.0
23,3299,0.7757757757757757,775.0
24,3906,0.7687687687687688,768.0
25,5380,1.0,999.0
25,5037,0.995995995995996,995.0
25,1014,0.992992992992993,992.0
25,1007,0.991991991991992,991.0
25,111,0.990990990990991,990.0
25,1847,0.983983983983984,983.0
25,2773,0.950950950950951,950.0
25,2745,0.94994994994995,949.0
25,4228,0.9279279279279279,927.0
25,3318,0.8768768768768769,876.0
25,5413,0.8408408408408409,840.0
25,4120,0.8288288288288288,828.0
25,204,0.8268268268268268,826.0
25,1281,0.8208208208208209,820.0
25,2728,0.8048048048048048,804.0
25,4349,0.8038038038038038,803.0
25,3993,0.8018018018018018,801.0
25,3439,0.7877877877877878,787.0
25,5431,0.7777777777777778,777.0
25,3641,0.7747747747747747,774.0
26,3712,0.988988988988989,988.0
26,21,0.97997997997998,979.0
26,1109,0.8828828828828829,882.0
26,1916,0.7287287287287287,728.0
27,3910,1.0,999.0
27,2643,1.0,999.0
27,2715,1.0,999.0
27,3183,1.0,999.0
27,1382,1.0,999.0
27,3782,1.0,999.0
27,4215,1.0,999.0
27,3152,0.997997997997998,997.0
27,4434,0.996996996996997,996.0
27,3353,0.995995995995996,995.0
27,2776,0.994994994994995,994.0
27,2985,0.992992992992993,992.0
27,2209,0.990990990990991,990.0
27,3668,0.986986986986987,986.0
27,4083,0.985985985985986,985.0
27,882,0.984984984984985,984.0
27,3611,0.982982982982983,982.0
27,2350,0.97997997997998,979.0
27,112,0.974974974974975,974.0
27,1906,0.964964964964965,964.0
28,2679,0.963963963963964,963.0
28,4606,0.8568568568568569,856.0
28,2728,0.7777777777777778,777.0
28,4365,0.7537537537537538,753.0
28,3344,0.7317317317317318,731.0
28,2748,0.7167167167167167,716.0
28,5120,0.7027027027027027,702.0
29,2801,0.993993993993994,993.0
29,862,0.993993993993994,993.0
29,3171,0.98998998998999,989.0
29,1539,0.977977977977978,977.0
29,4217,0.9669669669669669,966.0
29,1911,0.963963963963964,963.0
29,1666,0.923923923923924,923.0
29,4087,0.8708708708708709,870.0
29,3289,0.8708708708708709,870.0
29,157,0.8408408408408409,840.0
29,174,0.8368368368368369,836.0
29,3846,0.8248248248248248,824.0
29,2613,0.7067067067067067,706.0
30,5367,0.991991991991992,991.0
30,2431,0.9099099099099099,909.0
30,3963,0.8908908908908909,890.0
30,2949,0.8818818818818819,881.0
30,1045,0.7967967967967968,796.0
31,3930,1.0,999.0
31,62,0.998998998998999,998.0
31,1716,0.996996996996997,996.0
31,2748,0.995995995995996,995.0
31,3859,0.994994994994995,994.0
31,572,0.993993993993994,993.0
31,2135,0.8678678678678678,867.0
31,4804,0.8208208208208209,820.0
31,5132,0.8128128128128128,812.0
31,3617,0.7667667667667668,766.0
31,1409,0.7627627627627628,762.0
31,4599,0.7567567567567568,756.0
31,3330,0.7357357357357357,735.0
32,5300,1.0,999.0
32,159,1.0,999.0
32,3510,1.0,999.0
32,3421,1.0,999.0
32,1217,1.0,999.0
32,216,1.0,999.0
32,897,1.0,999.0
32,840,1.0,999.0
32,4600,1.0,999.0
32,1209,1.0,999.0
32,1492,1.0,999.0
32,2988,1.0,999.0
32,4676,1.0,999.0
32,784,1.0,999.0
32,298,1.0,999.0
32,3174,1.0,999.0
32,3281,1.0,999.0
32,5242,1.0,999.0
32,1983,1.0,999.0
32,854,1.0,999.0
33,4818,0.8638638638638638,863.0
33,458,0.8358358358358359,835.0
34,1281,1.0,999.0
34,260,1.0,999.0
34,2728,0.996996996996997,996.0
34,798,0.990990990990991,990.0
34,2306,0.98998998998999,989.0
34,3367,0.98998998998999,989.0
34,3956,0.98998998998999,989.0
34,3466,0.988988988988989,988.0
34,2110,0.986986986986987,986.0
34,3504,0.986986986986987,986.0
34,1084,0.9819819819819819,981.0
34,1144,0.978978978978979,978.0
34,4314,0.9629629629629629,962.0
34,470,0.9619619619619619,961.0
34,1197,0.958958958958959,958.0
34,1165,0.954954954954955,954.0
34,3537,0.954954954954955,954.0
34,334,0.9459459459459459,945.0
34,1059,0.943943943943944,943.0
34,117,0.9409409409409409,940.0
35,3568,1.0,999.0
35,1829,1.0,999.0
35,848,0.975975975975976,975.0
35,1501,0.944944944944945,944.0
35,3269,0.8938938938938938,893.0
35,4899,0.8728728728728729,872.0
35,3961,0.8718718718718719,871.0
35,1141,0.8258258258258259,825.0
35,262,0.7937937937937938,793.0
35,336,0.7737737737737738,773.0
35,2957,0.7437437437437437,743.0
35,4408,0.7217217217217218,721.0
36,391,0.944944944944945,944.0
36,3807,0.7737737737737738,773.0
36,615,0.7097097097097097,709.0
37,718,0.968968968968969,968.0
37,484,0.958958958958959,958.0
37,2614,0.934934934934935,934.0
37,3504,0.9079079079079079,907.0
37,4094,0.9069069069069069,906.0
37,2568,0.8858858858858859,885.0
37,453,0.8668668668668669,866.0
37,4023,0.8568568568568569,856.0
37,996,0.8238238238238238,823.0
37,2613,0.8078078078078078,807.0
37,131,0.8038038038038038,803.0
37,52,0.8038038038038038,803.0
37,2353,0.7987987987987988,798.0
37,4503,0.7977977977977978,797.0
37,156,0.7977977977977978,797.0
37,3585,0.7837837837837838,783.0
37,2866,0.7627627627627628,762.0
38,598,1.0,999.0
