protein1,protein2
Q9NW64,P61326
Q9NW64,Q96A72
O43264,Q9P2W9
O43264,Q9H900
O43264,O95229
O43264,Q13561
O43264,Q8WVM8
O43264,Q9NP72
O43264,O43683
O43264,O14777
O43264,Q96EA4
O43264,Q13257
O43264,P35606
O43264,Q96GD4
O43264,P54920
O43264,O14579
O43264,Q9Y6D9
P11597,P04114
P11597,P02647
P11597,P04180
P11597,P02654
P11597,Q13790
P11597,P02656
P11597,P02649
P11597,P02652
P11597,P27169
P11597,P06858
P11597,P06727
P11597,Q6Q788
P11597,P02655
P11597,O14791
P11597,P98155
P11597,O95445
P11597,P10909
P11597,Q00341
P11597,Q13093
P11597,P55058
O00204,P42330
O00204,P08684
O00204,P50225
O00204,P49888
O00204,P19835
O00204,P0DMM9
Q9NUG6,Q9UHV9
Q9NUG6,P19388
Q9NUG6,Q9NWS0
Q9NUG6,Q9Y265
Q9NUG6,Q9NQP4
Q9NUG6,P61758
Q9NUG6,Q99471
Q9NUG6,O60925
Q9NUG6,P36873
Q9UJA5,Q9BVS5
Q9UJA5,Q9UBP6
Q9UJA5,Q9Y4C8
Q9UJA5,Q8WWH5
Q9UJA5,Q9UI43
Q9UJA5,Q96PZ0
Q9UJA5,Q9UI30
Q9UJA5,Q9Y606
Q9UJA5,Q8NEJ9
Q9UJA5,Q9BV38
Q9UJA5,Q96Q83
Q9UJA5,Q9BXY0
P18627,O00182
P18627,Q6UXB4
P18627,Q08830
P18627,P33681
P18627,P17931
P18627,P42081
P18627,Q9NZQ7
P18627,P16410
P18627,Q495A1
P18627,Q15116
P18627,P01732
P18627,P10144
P18627,Q8TDQ0
P18627,P01730
P18627,P37840
P18627,Q7Z6A9
P18627,P01579
P18627,Q9BQ51
P18627,O95971
P18627,P10747
Q96DC9,P0CG48
Q96DC9,P0CG47
Q96DC9,P62979
Q96DC9,P61088
Q96DC9,Q8TEB7
Q96DC9,P51668
Q96DC9,P40818
Q9NZD8,Q8N0X7
Q9NZD8,Q8NFY4
Q9H2X0,P12644
Q9H2X0,P12643
Q9H2X0,P18075
Q9H2X0,P13497
Q9H2X0,P22003
Q9H2X0,P22004
Q9H2X0,P43026
Q9H2X0,Q7Z4P5
Q9H2X0,Q9GZX9
Q9H2X0,P34820
Q9H2X0,O43897
Q9H2X0,P03971
Q9H2X0,Q13253
Q9H2X0,P19883
Q9H2X0,Q2TAL6
Q9H2X0,Q8N8U9
Q9H2X0,P04275
Q9H2X0,P21810
Q9H2X0,Q9H772
Q9H2X0,Q13873
Q9UJJ9,Q9UK23
P98172,P54762
P98172,P54753
P98172,O15197
P98172,P54760
P98172,P29323
P98172,P54764
P98172,P21709
P98172,O43639
P98172,P49796
P98172,Q5JZY3
P98172,P52799
P98172,P29317
P98172,Q15768
P98172,P29322
P98172,P29320
P98172,Q12923
P98172,Q15375
P98172,O95832
P98172,O00560
P98172,P54756
Q9NYJ7,P46531
Q9NYJ7,Q9UM47
Q9NYJ7,Q04721
Q9NYJ7,O00548
Q9NYJ7,Q9NR61
Q9NYJ7,Q9BXP5
Q9NYJ7,P01133
Q9NYJ7,Q5TA89
P09622,P36957
P09622,P11182
P09622,P10515
P09622,P11177
P09622,O00330
P09622,P29803
P09622,P48728
P09622,P23434
P09622,P34897
P09622,P34896
P09622,P07954
P09622,Q92947
P09622,P40926
P09622,P21549
P09622,O75390
P09622,Q8N5Z0
P09622,P51553
P09622,P00367
P09622,P15104
P09622,Q15119
O95255,P08493
O95255,P02765
O95255,Q5JPE7
O95255,Q9H1B5
P02749,P02652
P02749,P02656
P02749,P04114
P02749,P02647
P02749,P00734
P02749,O95445
P02749,P02765
P02749,P02655
P02749,P01008
P02749,P07355
P02749,P02760
P02749,P00747
P02749,P06727
P02749,Q14114
P02749,P02768
P02749,P02654
P02749,P06858
P02749,P02649
P02749,Q6Q788
P02749,Q13790
Q15744,P49715
Q15744,P17947
Q15744,P02788
Q15744,Q7Z7K6
Q15744,P19793
Q15744,P05164
Q15744,P20718
Q15744,P08246
