protein1,protein2
P20849,Q14050
P20849,P02458
P20849,P16070
P20849,Q9HCN6
P20849,O15232
P20849,P10915
P20849,P12109
P20849,P17301
P20849,P12110
P20849,P18564
P20849,Q9UKX5
Q8NFH8,Q9Y6I3
Q8NFH8,P62993
Q8NFH8,P11233
Q8NFH8,P01133
Q06210,Q96EK6
Q06210,P06744
Q06210,O94808
Q06210,P46926
Q06210,P15104
Q06210,P34949
Q06210,P52789
Q06210,O94925
Q06210,P19367
Q06210,P52790
Q06210,P17861
Q06210,P37837
Q06210,Q16222
Q06210,Q96G03
Q06210,Q9UJ70
Q06210,O15294
Q06210,Q08623
Q9UBC7,P10398
Q9UBC7,P22466
Q9UBC7,Q8TE99
P09681,P43220
P09681,P01275
P09681,P27487
P09681,P09683
P09681,P22888
P09681,P01308
P09681,P01282
P09681,O95467
P09681,P16473
P09681,P50406
P09681,P06307
P09681,P10082
P09681,P10997
P09681,P29120
P09681,P01298
P09681,P01286
P09681,P61371
P09681,Q9UBU3
P09681,P12872
P09681,P01270
P51114,Q9UKV8
P51114,Q06787
P51114,Q13283
P51114,P61978
P51114,Q9UHX1
P51114,Q7KZF4
P51114,P67809
P51114,Q00577
P51114,Q9UL18
P51114,Q04637
P51114,Q9UQM7
P51114,Q15717
P51114,Q9UN86
P51114,P19338
P51114,P26196
P51114,P06730
P51114,P78352
P51114,Q01085
P51114,Q14240
P51114,P31483
Q10567,P56377
Q10567,O75843
Q10567,P84077
Q10567,O94973
Q10567,Q9NVZ3
Q10567,O00189
Q10567,Q14677
Q10567,Q00610
Q10567,P09496
Q10567,P63010
Q10567,Q9UBC2
Q10567,P61204
Q10567,Q9Y6I3
Q10567,P49418
Q10567,Q9BV40
Q10567,P50570
Q10567,P51809
P51813,P40763
P51813,Q96T51
P51813,P42574
P51813,Q9ULZ2
P51813,P08567
Q14324,Q8WZ42
Q14324,P45378
Q14324,Q96A32
Q14324,P50461
Q14324,P08590
Q14324,Q9NZQ9
Q14324,P24844
Q14324,P48788
Q7Z3B1,Q96SI1
Q7Z3B1,A6NGN9
Q7Z3B1,Q9C0B1
O15525,Q16236
O15525,Q14494
O15525,Q9BYV9
O15525,O14867
O15525,Q13501
O15525,P05412
Q7Z5G4,P01111
Q7Z5G4,O15269
Q7Z5G4,O15270
Q7Z5G4,P01112
Q9UM44,Q9XRX5
Q9UM44,Q96BF3
Q9UM44,Q8N743
Q9UM44,P16410
P06727,P02656
P06727,P02649
P06727,P02652
P06727,P04114
P06727,P02647
P06727,P02655
P06727,P10909
P06727,P02654
P06727,O95445
P06727,P02749
P06727,P11597
P06727,O14791
P06727,P27169
P06727,Q6Q788
P06727,Q13790
P06727,P04180
P06727,P05090
P06727,P55058
P06727,Q00341
P06727,P02743
P49642,P56282
P49642,P15927
P49642,P35249
P49642,Q9NRF9
P49642,Q86WV5
P49642,P12004
P49642,Q14566
P49642,Q9UI95
P49642,O75575
P49642,P39748
P49642,Q9BVC3
P49642,Q9Y5N6
P49642,Q9H0H5
P49642,P23921
P49642,P43246
P49642,Q9BVW5
P49642,Q8NFZ3
P49642,P04818
Q92905,P61201
Q92905,Q15843
Q92905,Q9H9Q2
Q92905,Q99627
Q92905,P05412
Q92905,Q13616
Q92905,P46527
Q92905,Q13618
Q92905,P04637
Q92905,P14174
Q92905,Q13620
Q92905,P51665
Q92905,P40337
Q92905,P61081
Q92905,Q16665
Q92905,P62993
Q92905,P54578
Q92905,Q7L2H7
Q92905,Q13485
Q92905,P19174
O95754,O15031
O95754,Q9ULL4
A6NHT5,O00755
P28324,P28482
P28324,P27361
P28324,Q16539
P28324,P53778
P28324,O15264
P28324,Q15759
P28324,P19419
P54727,P55036
P54727,P41208
P54727,P07992
P54727,P54252
P54727,Q92889
P54727,P0CG48
P54727,P54725
P54727,P12956
P54727,P43246
P54727,Q13426
P54727,Q9H9Q4
P54727,O60341
P54727,Q9Y6H3
P54727,Q19AV6
P54727,P55072
P54727,P62195
P54727,Q15008
P54727,Q5TDH0
P54727,Q9UHP3
P54727,P0CG47
Q8WXH0,Q9Y613
Q8WXH0,P20700
Q8WXH0,Q8TAQ9
Q8WXH0,Q8TC36
Q8WXH0,Q16658
Q96FT7,Q16775
P08235,P01019
P08235,Q02790
P08235,P00797
P08235,P04150
P08235,P12821
P08235,P07900
P08235,Q15185
P08235,P08238
P08235,Q495T6
P08235,Q13451
P08235,P28845
P08235,P08473
P08235,P01189
P08235,P06401
P08235,P06850
Q15777,P01225
Q8IYS0,Q96HH9
P54760,P98172
P54760,P52799
P54760,Q15768
P54760,P20936
P54760,P00519
P54760,P52803
P54760,O43921
P54760,P20827
P54760,P52798
P54760,P52797
P54760,P01588
P54760,O15197
P54760,P29323
P54760,P29317
P54760,P49767
P54760,P54756
P54760,P46108
P54760,P29322
P54760,P29320
P14091,P25774
Q99259,P51608
Q99259,P49448
Q99259,P15104
Q99259,P00367
Q99259,O94925
Q99259,P05091
Q99259,P49419
Q99259,P30837
Q99259,P30838
Q99259,P43353
Q99259,Q96KN2
Q99259,Q96KP4
Q99259,P36269
Q99259,Q9UBR1
Q99259,P08243
Q99259,P61278
Q99259,P05937
Q99259,P09622
Q99259,P17174
Q99259,P00505
Q9UGI8,Q8N8S7
Q9UGI8,P50552
Q9UGI8,Q15942
Q9UGI8,Q13813
Q96IJ6,O15305
Q96IJ6,Q92871
Q96IJ6,O60547
Q96IJ6,Q9H4A6
Q96IJ6,P34949
P09493,P45379
P09493,P19429
P09493,P06753
P09493,P07951
P09493,P67936
P09493,P18206
P09493,P08590
P09493,Q14896
P09493,P45378
P09493,Q15691
P09493,P35609
P09493,P12814
P09493,P48788
P09493,Q9BQD3
P09493,Q05682
P09493,P50461
P09493,P24844
P09493,Q96A32
P09493,P28289
P09493,Q9NZQ9
Q8IXI2,O60260
Q8IXI2,Q8IWA4
Q8IXI2,Q5S007
Q8IXI2,P52306
Q8IXI2,Q15388
Q8IXI2,Q70CQ3
Q8IXI2,O15079
Q8IXI2,Q9Y3D6
Q15007,Q86U44
Q15007,Q15796
Q15007,Q96MU7
Q15007,Q9C0B1
Q15007,P07910
Q15007,P22626
Q15007,P84022
Q15007,Q8N608
P19823,P02760
P19823,P02765
P19823,P02749
P19823,P00734
P19823,P19827
P19823,P02768
P19823,P02647
P19823,P04114
P19823,Q06033
P19823,P04004
P19823,P02787
P19823,P05546
P19823,P02675
P29317,P20827
P29317,O43921
P29317,P52803
P29317,P52798
P29317,P52797
P29317,P21709
P29317,P52799
P29317,P00519
P29317,Q15768
P29317,P98172
P29317,P20936
P29317,P22681
P29317,P62993
P29317,P29353
P29317,P00533
P29317,Q06124
P29317,P46108
P29317,Q9UF33
P29317,P29323
P29317,P04626
Q14790,P42574
Q14790,Q13546
Q14790,O14763
Q14790,P01375
Q14790,Q15628
Q14790,Q92851
Q14790,Q13158
Q14790,P25445
Q14790,O15519
Q14790,P48023
Q14790,Q9H257
Q14790,O95999
Q14790,P19438
Q14790,Q9UDY8
Q14790,O00220
Q14790,P50591
Q14790,P55210
Q14790,P55957
Q14790,Q9ULZ3
Q14790,P04637
P40306,P49720
P40306,P25788
P40306,P28065
P40306,P49721
P40306,P28066
P40306,P20618
P40306,P60900
P40306,P25786
P40306,P28070
P40306,P25787
P40306,P25789
P40306,P28072
P40306,O14818
P40306,P28074
P40306,P55036
P40306,Q06323
P40306,Q9UL46
P40306,Q15008
P40306,P51665
P40306,O00231
Q96EY4,O00488
Q96EY4,Q9UKD2
Q96EY4,P46777
Q96EY4,P62913
Q96EY4,P63173
Q96EY4,P62888
Q96EY4,Q9BXY0
Q96EY4,Q9Y221
Q96EY4,O95198
Q96EY4,Q9UNQ2
P27540,Q16665
P27540,Q92793
P27540,Q9GZT9
P27540,Q9H6Z9
P27540,P40337
P27540,P01588
P27540,Q96KS0
P27540,Q16790
P27540,P08238
P27540,Q9NWT6
P27540,O00170
P27540,P00338
P27540,Q9Y6A5
P27540,P07900
P27540,P31749
P27540,P21980
P27540,P01106
P27540,P35222
P27540,Q01201
P27540,Q12983
P61964,P68431
P61964,Q9C005
P61964,Q15291
P61964,Q9UBL3
P61964,Q8NEZ4
P61964,Q6ZW49
P61964,Q92830
P61964,O14686
P61964,Q9BTK6
P61964,Q92831
P61964,Q9BYW2
P61964,Q01658
P61964,O00255
P61964,Q969R5
P61964,P04179
P61964,O15530
P61964,O75478
P61964,Q96ES7
P61964,O15294
Q9UQQ1,P27487
Q9UQQ1,P09936
Q9UQQ1,P01730
Q9UQQ1,P26842
Q9UQQ1,P01732
P61244,P01106
P61244,P50539
P61244,Q8IWI9
P61244,Q16539
P61244,P61964
P61244,Q9Y265
P61244,Q969R5
P61244,Q15291
P61244,Q8IXM2
P61244,O15264
P61244,Q15759
P61244,P53778
P61244,P30304
P61244,Q13185
Q9BZL1,P55081
Q9BZL1,P83876
Q9BZL1,O94906
Q9BZL1,P62316
Q9BZL1,Q15843
Q9BZL1,O95164
Q9BZL1,P62310
Q9BZL1,P62308
Q9BZL1,P41223
Q9BZL1,P55769
Q9BZL1,Q9NW64
Q9BZL1,P62318
Q9BZL1,O60828
Q9BZL1,O43447
Q9BZL1,Q9UNP9
Q9BZL1,Q13356
Q9BZL1,Q9Y4Z0
Q9BZL1,P62306
Q9BZL1,P62304
Q9BZL1,Q15427
P31994,Q92835
P31994,P17931
P31994,Q9BXN2
P31994,P43405
P31994,P07948
P31994,P11215
P31994,Q14314
P31994,P12318
P31994,P55899
P31994,P01344
P31994,P21854
P31994,P29350
P31994,P01730
P31994,P12314
P31994,P42081
P31994,P01732
P31994,P05019
P31994,P14151
P31994,P05107
P31994,P17927
Q6ZRP7,P55789
Q6ZRP7,P10599
A6H8Y1,P20226
A6H8Y1,Q92994
A6H8Y1,Q9H1D9
A6H8Y1,O75575
A6H8Y1,O15160
A6H8Y1,P61218
A6H8Y1,P53803
A6H8Y1,Q9Y2Y1
A6H8Y1,Q92922
A6H8Y1,P19388
A6H8Y1,Q9UNA4
A6H8Y1,P04637
A6H8Y1,Q00403
A6H8Y1,P62380
P0C0S8,Q16778
P0C0S8,O60814
P0C0S8,P62979
P0C0S8,P0CG47
P0C0S8,P0CG48
P0C0S8,Q99728
P0C0S8,Q15910
P0C0S8,Q8TEK3
P0C0S8,Q86WJ1
P0C0S8,Q99986
P0C0S8,P68431
P0C0S8,P36954
P0C0S8,P19387
P0C0S8,P19388
P0C0S8,P53803
P0C0S8,P61218
Q9NZ94,"ENSP
9606.ENSP00000385142    P58400
9606.ENSP00000385142    Q9ULB1
Name: UniProt, dtype: object"
Q9NZ94,P58401
Q9NZ94,P78352
Q9NZ94,Q9BYB0
Q9NZ94,"ENSP
9606.ENSP00000489551    Q9HDB5
9606.ENSP00000489551    Q9Y4C0
Name: UniProt, dtype: object"
Q9NZ94,Q9UHC6
Q9NZ94,Q9Y566
Q9NZ94,P23468
Q9NZ94,Q92796
Q9NZ94,Q06787
Q9NZ94,Q8N2Q7
Q9NZ94,Q8N0W4
Q9NZ94,O14936
Q9NZ94,Q86UL8
Q9NZ94,Q15700
Q9NZ94,P51608
Q9NZ94,Q8IWV2
Q9NZ94,O43300
Q9NZ94,Q9Y6N8
Q9NZ94,Q86YM7
O14994,P60880
O14994,P21579
O14994,P78352
O14994,P63027
O14994,P20336
O14994,Q16623
O14994,O14810
O14994,P37840
P31948,P11142
P31948,P07900
P31948,P08238
P31948,O95433
P31948,P04156
P31948,P25685
P31948,Q15185
P31948,P34931
P31948,Q16543
P31948,P04150
P31948,"ENSP
9606.ENSP00000364801    P0DMV8
9606.ENSP00000364801    P0DMV9
Name: UniProt, dtype: object"
P31948,Q02790
P31948,P48643
P31948,P50990
P31948,Q08752
P31948,P17987
P31948,Q99832
P31948,Q13451
P31948,Q92598
P31948,P0DMV8
Q5SRI9,Q9UKM7
P78556,P13501
P78556,P48061
P78556,O14625
P78556,P42830
P78556,P02776
P78556,Q6UXB2
P78556,Q9UBD3
P78556,P09341
P78556,P13500
P78556,P10147
P78556,Q99731
P78556,P01584
P78556,P19876
P78556,P19875
P78556,P10145
P78556,P02778
P78556,P05231
P78556,P01375
P78556,P78423
P78556,O43927
Q96KN2,Q96KP4
Q96KN2,Q8N4J0
Q96KN2,Q9UBR1
Q96KN2,Q99259
Q96KN2,P30837
Q96KN2,P05091
Q96KN2,P50440
Q96KN2,P49419
Q96KN2,P30838
Q96KN2,P43353
Q96KN2,P15104
Q96KN2,P00367
Q96KN2,O94925
Q96KN2,P49448
P55072,P54252
P55072,Q96JH7
P55072,Q9BQE4
P55072,Q9BUN8
P55072,Q96CS3
P55072,Q8TAT6
P55072,Q92890
P55072,Q92575
P55072,Q9UNZ2
P55072,Q9BZE9
P55072,Q14CS0
P55072,Q8NHG7
P55072,Q9UBN7
P55072,Q14139
P55072,P0CG48
P55072,P27824
P55072,Q13148
P55072,Q8TCF1
P55072,P11021
P55072,Q9UHD9
Q96FA3,Q9NWZ3
Q96FA3,Q13546
Q96FA3,Q15628
Q96FA3,Q13404
Q96FA3,P61088
Q96FA3,Q9UHD2
Q96FA3,O14920
Q96FA3,P14778
Q6P2E9,P26196
Q6P2E9,Q9NPI6
Q6P2E9,Q8IZD4
Q6P2E9,O15116
Q6P2E9,Q9UKV8
Q6P2E9,Q9Y4Z0
Q6P2E9,A5YKK6
Q6P2E9,Q8N6T3
P37173,P01137
P37173,P10600
P37173,P61812
P37173,P36897
P37173,P84022
P37173,Q15796
P37173,P17813
P37173,Q13485
P37173,P37023
P37173,Q03167
P37173,Q9HCE7
P37173,Q9UER7
P37173,Q9HAU4
P37173,P22681
P37173,Q99988
P37173,P07900
P37173,P61586
P37173,Q9UM73
P37173,P46937
P37173,P29353
Q14432,P17612
Q14432,P55263
Q14432,P36959
Q14432,O14638
Q14432,P07741
Q14432,P00492
Q14432,Q9BY32
Q14432,P27707
Q14432,Q16774
Q14432,P30566
Q14432,P49915
Q14432,P49419
Q14432,O43687
Q13564,P61081
Q13564,Q15843
Q13564,Q8TBC4
Q13564,P05067
Q13564,Q969M7
Q13564,Q13616
Q13564,Q96LD8
Q13564,Q96GG9
Q13564,Q92905
Q13564,Q13618
Q13564,P22314
Q13564,P63208
Q13564,Q9BTE7
Q13564,Q13620
Q13564,Q8IWE4
Q13564,Q6PH85
O00308,P60484
O00308,Q96B67
O00308,P0CG48
O00308,P68036
O00308,Q969T9
O00308,Q9UM47
O00308,P61077
O00308,P62979
O00308,P84022
O00308,P62837
O00308,P61086
O00308,Q8N0X7
O00308,O14641
O00308,P0CG47
O00308,P19387
O00308,Q4VCS5
O00308,Q9H0M0
O00308,P51668
Q86VB7,P00738
Q86VB7,P16671
Q86VB7,P05231
Q86VB7,P22301
Q86VB7,Q9Y279
Q86VB7,P02790
Q86VB7,P22897
Q86VB7,P07333
Q86VB7,P34810
Q86VB7,P08637
Q86VB7,Q9BZZ2
Q86VB7,P01584
Q86VB7,P78536
Q86VB7,O60603
Q86VB7,P42081
Q86VB7,P11215
Q86VB7,O00206
Q86VB7,O75015
Q86VB7,P01730
Q86VB7,P01732
P0C0S8,Q15291
Q96J84,Q9Y5K6
Q96J84,Q07157
Q96J84,P62993
Q96J84,Q8IZU9
Q96J84,P16333
Q96J84,P22223
Q96J84,O43707
Q96J84,Q5T2W1
Q96J84,P06241
Q96J84,O43639
P68431,Q16778
P68431,Q9Y294
P68431,Q13185
P68431,Q9UJW3
P68431,P83916
P68431,P45973
P68431,P61964
P68431,Q96KQ7
P68431,O60814
P68431,Q92831
P68431,Q12830
P68431,Q8TEK3
P68431,Q86U86
P68431,O14929
P68431,Q9BYW2
P68431,Q09028
P68431,Q14781
P68431,O60885
P68431,Q08945
P68431,Q96ES7
P12956,Q13426
P12956,Q9H9Q4
P12956,P09874
P12956,P49959
P12956,P18887
P12956,P43246
P12956,P10909
P12956,P07992
P12956,Q92889
P12956,P04637
P12956,P54727
P12956,Q9Y6H3
P12956,Q99728
P12956,Q06609
P12956,P41208
P12956,P15927
P12956,O60341
P12956,P54274
P12956,Q96EB6
P12956,Q9BSI4
Q9Y5K6,Q96J84
Q9Y5K6,P06729
Q9Y5K6,P22681
Q9Y5K6,Q07157
Q9Y5K6,P52907
Q9Y5K6,P0CG48
Q9Y5K6,O43707
Q9Y5K6,Q9UM54
Q9Y5K6,P60763
Q9Y5K6,P14317
Q9Y5K6,Q8IZU9
Q9Y5K6,P50479
Q9Y5K6,P0CG47
Q9Y5K6,P62979
Q9Y5K6,P47756
Q9Y5K6,Q92835
Q9Y5K6,Q96B97
Q9Y5K6,P22223
Q9Y5K6,Q9ULZ2
Q9Y5K6,O14791
O15031,Q92854
O15031,Q9C0C4
O15031,Q9H3S1
O15031,Q9NTN9
O15031,Q92730
O15031,P10301
O15031,Q9NPR2
O15031,O00212
O15031,P08581
O15031,O95754
O15031,P15153
O15031,P60763
O15031,Q9ULL4
O15031,P61587
O15031,P21246
O15031,Q86YT9
O15031,P03950
O15031,Q9Y4D7
O15031,O14786
Q96AT9,P49247
Q96AT9,P29401
Q96AT9,P52209
Q96AT9,O75191
Q96AT9,P37837
Q96AT9,O95479
Q96AT9,P11413
Q96AT9,P06744
Q96AT9,P60174
Q96AT9,P11177
Q96AT9,P07205
Q96AT9,Q9H477
Q96AT9,O95336
O60258,P21802
O60258,P11362
O60258,P22455
O60258,Q9UEF7
O60258,P01133
O60258,P22607
O60258,P09038
O60258,P05230
O60258,P98160
O60258,Q14512
O60258,P35968
O60258,P00533
O60258,P35916
O60258,Q9GZV9
O60258,P07585
O60258,Q86Z14
O60258,P09619
O60258,P04629
O60258,P19022
O60258,P16070
O15165,Q15796
Q15366,Q15365
Q15366,Q96J02
Q15366,Q14103
Q15366,P61978
Q15366,P09651
Q15366,P49715
Q15366,P07910
Q15366,Q15717
Q15366,P31483
Q15366,P22626
Q15366,P67809
Q15366,P31943
Q15366,Q01085
Q15366,O60506
Q15366,O14979
Q15366,O43390
Q15366,P06730
Q15366,Q9UKV8
Q15366,Q04637
Q15366,Q9BYX4
Q9BW04,Q86YM7
Q13361,P55001
Q13361,Q9Y219
Q13361,P23142
Q13361,Q9UBX5
Q13361,P55083
Q13361,O00548
O95297,Q06124
O95297,P78324
O95297,P20916
O95297,Q9BXM0
Q6PUV4,P63027
Q6PUV4,Q16623
Q6PUV4,O14810
Q6PUV4,P60880
Q6PUV4,Q8WVH0
Q6PUV4,P21579
Q6PUV4,Q13277
Q6PUV4,O00161
Q6PUV4,Q12846
Q6PUV4,Q15836
Q6PUV4,Q9BV40
Q6PUV4,O95721
Q6PUV4,P61266
Q6PUV4,P51809
Q6PUV4,O43752
Q6PUV4,P23763
Q6PUV4,Q86Y82
Q6PUV4,P56962
Q6PUV4,O14653
Q6PUV4,O95219
P30988,P10997
P30988,O60894
P30988,O60896
P30988,P35318
P30988,O95467
P30988,P10092
P30988,P09683
P30988,P43235
P30988,P01270
P30988,P13686
P30988,O95644
P30988,O14788
P30988,O75899
P30988,Q9UBS5
P30988,Q7Z4H4
O60218,P16152
O60218,Q00796
O60218,P30837
O60218,Q7Z4W1
O60218,P49419
O60218,P05091
O60218,P42330
O60218,P09417
O60218,P35270
O60218,P00374
O60218,P15121
O60218,P09848
O60218,P06280
O60218,P17752
O60218,P16278
O60218,Q03393
O60218,P35557
O60218,P19367
O60218,Q9UGB7
O60218,P52790
Q7Z4F1,P02649
P08217,P15085
P08217,P48052
P08217,Q9Y337
P08217,P19835
P08217,P08861
P08217,P54315
P08217,P15086
Q96LB8,Q96LB9
Q96LB8,Q5TA77
Q96LB8,Q5T5A8
Q9UGI0,P0CG48
Q9UGI0,P62979
Q9UGI0,P0CG47
Q9UGI0,Q5T2D3
Q6NVY1,P31937
Q6NVY1,P30084
Q6NVY1,O75394
Q6NVY1,O60783
Q6NVY1,Q5T653
Q6NVY1,Q9BQ48
Q6NVY1,Q9BYC8
Q6NVY1,P49748
Q6NVY1,P04179
Q6NVY1,P22307
Q6NVY1,Q02252
Q6NVY1,Q6YN16
Q6NVY1,P45954
Q6NVY1,P45984
Q6NVY1,P45983
Q6NVY1,P46782
Q6NVY1,Q9NTX5
Q6NVY1,P24752
Q6NVY1,P11310
Q6NVY1,P09110
Q9UN86,Q14694
Q9UN86,Q13283
Q9UN86,P26196
Q9UN86,P31483
Q9UN86,Q06787
Q9UN86,P51114
Q9UN86,P67809
Q9UN86,P25963
Q9UN86,Q8N5H7
Q9UN86,Q01085
Q9UN86,Q04637
Q86SJ6,Q02413
Q86SJ6,P32926
P39060,P35052
P39060,P19338
P39060,P08253
P39060,P35968
P39060,Q01658
P39060,P14780
P39060,P39059
P39060,P98160
P39060,P00747
P39060,P07996
P39060,P05556
P39060,O75487
P39060,P12109
P39060,P02751
P39060,Q86Y22
P39060,P08648
P39060,P45452
P39060,Q9Y5P4
P39060,P35916
P39060,P08254
P02144,P99999
P02144,P02768
P02144,P00167
P02144,P01308
P02144,P01266
P02144,P00738
P02144,P07998
P02144,P19429
P02144,P11216
P02144,O00443
P02144,P06732
P02144,P15259
P02144,P06737
P02144,P02741
P02144,P45379
P02144,Q6GPI1
P02144,P17538
P02144,P17540
P02144,P02788
P02144,P24298
Q9HCM2,O14786
Q9HCM2,Q14563
Q9HCM2,Q9H2E6
Q9HCM2,O60462
Q9HCM2,Q92730
Q9HCM2,Q9UIW2
Q9HCM2,Q8NFY4
Q9HCM2,P15153
Q9HCM2,O00212
Q9HCM2,P06241
Q9HCM2,P60763
Q9HCM2,Q9H3T3
Q9HCM2,Q13214
Q9HCM2,Q8TDZ2
Q9HCM2,O15041
Q9HCM2,P10909
Q9HCM2,Q99985
Q9HCM2,Q92854
Q9HCM2,Q9H3T2
Q9HCM2,P63000
Q15561,P46937
Q15561,Q14135
Q15561,P84022
Q15561,P29279
Q15561,Q15796
Q15561,Q13761
Q15561,Q9UKW6
Q9NQ38,Q9Y337
Q9NQ38,P49862
Q9NQ38,Q02413
Q9NQ38,Q9Y5K2
Q9NQ38,Q9P0G3
Q9NQ38,Q9UIL8
Q9NQ38,Q15517
Q9NQ38,Q92876
Q86U06,P78362
Q8IWU5,P51654
Q92520,P11279
Q92520,P10321
Q92520,Q15116
Q93084,P23327
Q93084,Q92993
Q93084,Q13586
Q9H3S4,P29401
Q9H3S4,Q9BU02
Q9H3S4,P00568
Q9H3S4,Q9Y6K8
Q9H3S4,P54819
Q9H3S4,P27144
Q9H3S4,P09923
Q9H3S4,P05187
Q9H3S4,P05186
Q9H3S4,P10696
P10082,P01303
P10082,P01298
P10082,Q9UBU3
P10082,P01275
P10082,P01189
P10082,P41159
P10082,P06307
P10082,P61278
P10082,P09681
P10082,P10997
P10082,O00253
P10082,P01308
P10082,P43220
P10082,P27487
P10082,P30990
P10082,P12872
P10082,Q9NRJ3
P10082,P48645
P10082,P09683
P10082,P10645
Q9BXY0,O00541
Q9BXY0,Q9Y221
Q9BXY0,Q9UKD2
Q9BXY0,P62888
Q9BXY0,Q8TEA1
Q9BXY0,P63173
Q9BXY0,Q8NEJ9
Q9BXY0,Q9UNX3
Q9BXY0,Q96PZ0
Q9BXY0,Q9NX24
Q9BXY0,Q15648
Q9BXY0,Q96EY4
Q9BXY0,Q9UNQ2
Q9BXY0,Q9UQ80
Q9BXY0,P46777
Q9BXY0,O15381
Q9BXY0,P49771
Q9BXY0,Q9UI43
Q9BXY0,Q9UJA5
Q9UGN4,A8K4G0
Q9UGN4,P10153
Q9UGN4,Q8TDQ1
Q9UGN4,P13727
Q9UGN4,P29350
Q9UGN4,Q08708
Q6UWL6,Q5T2W1
P15036,P04637
P15036,P41134
P15036,P28482
P15036,P27361
P15036,Q92793
P15036,P05412
P43358,P78358
P43358,Q9NS91
P43358,P43363
P43358,P78395
P00451,P04275
P00451,P00742
P00451,P00740
P00451,P00734
P00451,P02751
P00451,P08709
P00451,P03951
P00451,P04070
P00451,Q76LX8
P00451,P13726
P00451,P49257
P00451,P01008
P00451,P07225
P00451,P07359
P00451,P12259
P00451,O60507
P00451,O60704
P00451,P40197
P00451,P13224
P00451,P11226
P26038,P35241
P26038,O14745
P26038,P15311
P26038,P16070
P26038,P05362
P26038,P15529
P26038,P19320
P26038,P16150
P26038,Q5S007
P26038,P18206
P26038,P13598
P26038,P61586
P26038,P14151
P26038,Q14651
P26038,Q9NZA1
P26038,P21333
P26038,P32942
P26038,Q9H4G0
P26038,Q12792
P26038,P62993
P61020,P20339
P61020,P51148
P61020,Q15075
P61020,Q8NEB9
P61020,Q5S007
P61020,P31150
P61020,Q14596
P61020,P50395
P61020,Q15276
P61020,P51149
P61020,P08962
Q9NQ75,Q8N427
Q9NQ75,Q14289
Q9NQ75,Q9Y5K6
Q9NQ75,Q92835
Q9NQ75,O00499
O60462,Q9UIW2
O60462,P49767
O60462,Q14563
O60462,Q9HCM2
O60462,P35916
O60462,Q99985
O60462,Q13214
O60462,P17948
O60462,P49763
O60462,O14786
O60462,Q92823
O60462,P35968
O60462,Q9Y4D7
O60462,O43915
O60462,Q9H2E6
O60462,O15041
O60462,O60486
O60462,Q9NS98
O60462,P49765
O60462,P14210
P0DMM9,P50225
P0DMM9,P17174
P0DMM9,O00338
P0DMM9,Q06520
P0DMM9,O00204
Q14574,Q99959
Q14574,P14923
Q14574,Q14126
Q14574,P32926
Q14574,Q02413
Q14574,Q92817
Q14574,P13647
P23141,P08236
P23141,P08684
P23141,P05164
P23141,P32320
P23141,P18440
P23141,P19224
P23141,P22309
P23141,Q9HAW9
P23141,O60942
P23141,P10768
P23141,P54855
P23141,Q9Y4X1
P23141,P10619
P23141,P49773
P27487,Q9BYF1
P27487,P00813
P27487,P01275
P27487,P02751
P27487,P09681
P27487,P05556
P27487,P42785
P27487,P43220
P27487,P08473
P27487,P11717
P27487,P48147
P27487,P15144
P27487,Q16819
P27487,P35613
P27487,P01308
P27487,P00747
P27487,P21926
P27487,P12821
P27487,Q9UHL4
P27487,Q9ULA0
Q9ULZ9,Q99075
Q9ULZ9,P63096
Q9ULZ9,P08754
Q9ULZ9,P16035
Q9ULZ9,P09958
Q9ULZ9,P50281
Q9ULZ9,P01033
P31350,P23921
P31350,Q7LG56
P31350,P23919
P31350,O95229
P31350,P20248
P31350,P04818
P31350,Q16774
P31350,O00762
P31350,Q96KB5
P31350,P14618
P31350,Q9H773
P31350,Q8WVQ1
P31350,Q9Y5L3
P31350,O75355
P31350,O75356
P31350,O75354
P31350,P49961
P31350,P04183
P31350,O95067
P31350,Q15004
O94811,Q13561
O94811,P37840
O94811,P52907
O94811,Q9UBN7
O94811,O00399
P48067,Q15651
P36776,Q16740
P36776,P10809
P36776,P38646
P36776,Q96TA2
P36776,P61604
P36776,Q9HAV7
P36776,Q16401
P36776,Q00059
O15075,O75473
O75914,Q14155
O75914,P60953
O75914,P16333
O75914,P15153
O75914,O43639
O75914,P60763
O75914,P63000
O75914,Q02750
O75914,P53667
O75914,Q9HCK4
O75914,Q9Y6N7
O75914,P04049
O75914,Q9UBI6
O75914,Q9UM54
Q9BYC5,Q09327
Q9BYC5,P15291
Q9BYC5,Q10469
Q9BYC5,Q9UQ53
Q9BYC5,Q9UM21
Q9BYC5,O60909
Q9BYC5,O60512
Q9BYC5,Q09328
Q9BYC5,P26572
Q9BYC5,P15907
Q9BYC5,Q9H488
Q9BYC5,Q495W5
Q9BYC5,Q9Y231
Q9BYC5,P21217
Q8IWY4,Q8IX30
Q08ET2,O15389
P55884,P55010
P55884,P63244
P55884,O75821
P55884,Q7L2H7
P55884,P05198
P55884,O75822
P55884,P60842
P55884,P41567
P55884,Q04637
P55884,P20042
P55884,P23396
P55884,P60866
P55884,P08865
P55884,P39019
P55884,P61247
P55884,P25398
P55884,P06730
P55884,P62081
P55884,P46782
P55884,Q13283
Q2M296,O95954
Q2M296,P55769
Q2M296,Q9H903
Q2M296,P13995
