,Gene,AnomalyScore
4582,STAB2,68.53947
5471,CCK,68.45306
54,STAT3,67.83042
5789,LMAN2L,67.09803
2007,SAR1A,66.89636
4090,INPP4A,66.63786
867,EIF1B,66.43612
2091,PPME1,66.32714
526,DNAJA2,66.01686
2126,LTO1,65.50823
117,NRAS,64.68099
4070,RANGAP1,64.48115
4925,PI3,64.35534
3577,RPP25,63.794968
292,RAB17,63.602245
2647,STAT5A,63.514317
480,PCBP1,63.43466
85,PABPC3,63.33539
2111,RTN4IP1,63.25192
6371,TBC1D5,63.056652
2048,MMAB,62.96771
963,SNX17,62.772644
3187,BMP5,62.643253
2119,GATM,62.46553
4191,UBA6,62.377506
2578,CCNE1,62.31882
1971,NMI,62.084324
5460,C1orf162,61.4826
2071,BPNT1,61.249836
610,SMAD4,61.104736
4845,IL34,61.07313
3824,RILP,60.947773
788,ARL2,60.863544
6309,CDC42,60.78625
4076,OXCT1,60.636776
4686,MAPKAPK2,60.497128
3279,CASP4,59.85263
699,PFKFB3,59.68948
2329,CD68,59.659935
4121,ATE1,59.620773
5500,SDF2L1,59.520382
4699,DYNLRB1,59.500916
3486,PPM1M,59.436882
1449,RAP1GDS1,59.329735
461,PDLIM1,59.268646
3882,CTNNA1,59.162926
1584,SCG5,59.09985
4753,F2,58.866825
3605,PRMT1,58.748737
317,SPART,58.733192
4442,SERPINF2,58.482544
643,PAFAH1B3,58.42009
5293,MCEMP1,58.28693
5691,ST6GALNAC2,58.24373
1733,BRAF,58.134518
5319,CSTL1,57.96204
4069,VCP,57.959064
2566,FGL2,57.82105
2143,CNRIP1,57.753708
1810,PPBP,57.38587
5944,GAL3ST1,57.385735
301,MRPL55,57.105167
4710,SBDS,56.953293
6307,SMAD1,56.851654
4159,NUMB,56.494877
3013,AOC3,56.23964
670,GPD1L,56.214447
3781,TBC1D20,56.209747
4256,CCL2,56.143005
425,PLCB1,55.965782
4948,NAMPT,55.924282
4816,ENTPD3,55.71326
4080,FTO,55.692207
1363,LANCL1,55.502518
3298,DYTN,55.42415
2057,PMM2,55.28612
843,DARS1,55.18074
2123,MAGEA5,54.876263
2547,ITGA2B|ITGB3,54.796463
1941,ACADSB,54.44392
2262,RALB,54.354195
4320,CAPN1|CAPNS1,54.283867
3248,WAS,54.22071
2141,THG1L,53.989285
2228,IL36RN,53.862156
2420,RAB5B,53.703926
1458,S100A4,53.63988
1483,ANXA7,53.4413
4306,LTBR,53.428616
1781,HSPA5,53.329945
826,AHCYL1,53.26102
2824,NUDCD2,53.087894
5322,YBX2,52.999016
1822,NME4,52.874546
1911,ACAT2,52.814762
3535,TPD52L2,52.768425
5253,SUMF2,52.621372
4064,EIF3B,52.24462
3895,TTC27,52.06203
4399,CCL14,52.04501
6055,DEFB132,52.0164
4358,MMP3,51.88842
2266,PTGES2,51.748413
4676,CA3,51.49133
133,SLITRK3,51.459644
622,AARS1,51.2814
4243,PLEKHO2,51.12488
3658,CCDC92,50.988247
4831,PDGFA,50.97909
4323,HSPD1,50.916508
4784,PEBP1,50.86354
2728,IL17RE,50.777813
4201,NCOA7,50.536827
4968,TNFAIP6,50.505264
3983,ARL6IP1,50.396713
4719,ING1,50.171886
2504,BCAT2,50.03316
4777,NSFL1C,49.86471
4485,APP,49.812305
2457,YARS1,49.72343
5493,CNTNAP2,49.636757
852,MPST,49.119743
2569,PDYN,49.089813
4614,THBS1,48.910683
4329,PF4,48.78089
3873,PYGB,48.50868
3407,RGS13,48.42712
24,CUL3,48.42527
2447,GCDH,48.334793
4079,TPP2,48.15322
3561,MLX,48.1496
457,EHD4,47.98499
3947,RILPL2,47.953632
5259,FGFRL1,47.309
3437,TSEN34,47.196182
773,NIP7,47.129086
2601,KRAS,47.09408
4105,ASPSCR1,47.090366
4187,LIMD1,46.95588
2016,HADH,46.80435
4513,FOLH1,46.79306
86,SHISA2,46.654728
2484,HSCB,46.62094
694,BACH1,46.561302
4118,VPS53,46.56114
4561,CDK8|CCNC,46.551056
4576,SERPINA5,46.533653
1244,ZYX,46.43788
6240,PAWR,46.291115
2032,RHOC,46.22695
4827,TPM2,46.15701
1327,APOBEC3G,46.081257
3154,CEP43,46.05151
2574,ADA,45.826878
5114,HINT2,45.504406
3890,DLGAP4,45.476128
4504,KREMEN2,45.436775
2586,PGAM4,45.40263
279,N6AMT1,45.357273
1881,DDOST,45.353035
3813,HMGCL,45.240887
1183,MYOM2,45.216328
3132,RHOT1,45.129814
859,SH3BGRL,44.8967
973,ECI2,44.880165
5867,STX7,44.760647
4065,DYNC1LI1,44.581753
4767,HSD17B10,44.50248
6083,MAN1A2,44.43027
1821,TNNT3,44.32876
2659,TATDN1,44.25047
44,NEFL,44.249935
3808,CSTF1,44.20975
5029,PPIE,44.065388
3171,SIRT6,43.790962
1903,CNPY3,43.54583
2206,PDHX,43.41296
3802,PAGR1,43.41087
566,KIF16B,43.380066
2100,UBE2V2,43.280617
4701,GAPDH,43.11545
4810,SLPI,43.049774
1754,AKR1B10,42.909325
393,NT5C2,42.877518
4394,UBE2I,42.869083
2542,SEZ6L,42.80235
175,NDUFB4,42.796993
632,SNAP29,42.77112
6304,ALDH1A3,42.76471
295,SPG21,42.712856
2045,RAB32,42.69471
6136,FCER1A,42.52496
5688,GBP6,42.503742
5920,FASN,42.447784
266,ART3,42.4249
2913,NAA80,42.311337
2299,ADGRE5,42.262356
1960,ACSF2,42.217747
666,MAX,42.216705
5076,ASGR1,42.179478
1128,MRPL33,41.99699
4100,ATG4C,41.980568
4600,GSK3A,41.943005
2890,TFB2M,41.828674
2517,SYF2,41.721703
2784,DR1,41.709557
763,HPGDS,41.67617
2570,IAPP,41.55387
5526,MPIG6B,41.45027
1878,VPS28,41.310863
4505,LTA4H,41.30499
5158,PRKCSH,41.227154
2198,DCTN6,41.03174
2874,TBC1D13,41.015507
3942,APOBEC2,40.939888
3586,MSC,40.908054
3634,FAHD2A,40.714016
2528,DTYMK,40.44252
2864,FN3K,40.186924
1353,TTL,40.16218
5712,PGRMC1,40.016552
5872,SSMEM1,40.010162
3028,GP1BB,39.989796
283,HSPB1,39.862316
3512,CFAP300,39.735977
2835,MYLPF,39.45531
5863,HS3ST3A1,39.41324
3687,TADA3,39.35157
3609,FAM118A,39.32375
6170,FKBP2,39.307266
2969,RTCA,39.254444
6132,PPT1,39.235695
730,TBCA,39.217266
2092,NAA10,39.085518
701,CHP1,39.071907
3009,SMAD5,39.01401
1438,HBEGF,38.868565
537,MAP1LC3B,38.81243
4255,LEP,38.621876
2510,MYL12A,38.607788
1915,ZADH2,38.596497
657,HIBCH,38.570526
443,BLVRA,38.527668
5871,DNAJC10,38.511967
3217,BAG6,38.49427
1351,KPNA6,38.465687
1935,RBM17,38.453518
4643,CASP3,38.390324
4608,PRKACA,38.332558
1753,TEC,38.265465
5345,LAD1,38.26502
2148,COX5A,38.25665
6027,ERLEC1,38.1754
2757,NPY,38.01955
4560,CDK5|CDK5R1,38.00103
3353,HES1,37.83701
5072,TNNI2,37.648003
5047,TNNT2,37.60682
4045,SARG,37.606155
5302,PLBD1,37.60104
682,IST1,37.494564
2265,PPIG,37.478367
1025,RPS10,37.407288
1809,LECT2,37.27238
4391,RAD51,37.25499
1100,DEFB4A,37.234863
988,RDH16,37.220066
5667,NFU1,37.20035
1617,LOXL3,37.06515
1797,CD69,36.96582
486,VPS4A,36.86261
5048,ANXA6,36.818993
6312,ACTN2,36.81505
1375,PAPSS1,36.795467
2094,NT5M,36.73772
2440,MYCBP,36.69656
2642,GBP5,36.58534
4169,FAM219B,36.471264
5379,POGLUT1,36.45163
4345,SHH,36.380295
4431,JAM2,36.319252
5228,EIF4H,36.301216
3022,COMMD8,36.271374
3998,EIF2S2,36.22793
4003,TIMP3,36.14505
257,PLD3,36.1387
810,LANCL2,36.10339
3935,TCEAL5,36.00307
3251,MAP2K5,35.809643
1536,MZF1,35.783863
5283,CPXM1,35.78268
4609,RPS6KA3,35.750744
169,GNPTG,35.680733
3344,IP6K1,35.623554
3438,NR0B2,35.571083
5874,PEX14,35.543663
4577,PIK3CA|PIK3R1,35.522945
6008,UGT2A1,35.47999
2678,TOMM20,35.399044
869,NEK7,35.393723
4336,IL37,35.37311
407,PCBD1,35.340843
3257,FOXO1,35.232185
2031,NUDT5,35.19756
6252,B4GALT2,35.192123
2509,MDGA2,35.1296
2506,ECI1,35.05785
1162,ARL6IP5,35.024277
2067,NIT2,34.9958
1255,ROCK2,34.871017
2462,IDH3G,34.84173
1139,GSTK1,34.798683
3408,RIPK1,34.787918
2687,MRPL1,34.651352
2063,NANS,34.631165
3794,C2CD2L,34.599216
5702,COX4I2,34.598858
879,AP1G2,34.581936
3978,SLC9A3R1,34.57595
4669,BMP6,34.544502
5081,GAS1,34.539143
4019,NONO,34.52014
2452,EIF4E,34.45544
3373,MED28,34.356934
3163,MYL9,34.33303
5859,UXS1,34.289753
5430,PZP,34.251137
5762,SCG3,34.225727
1705,HEXIM1,34.21371
5181,FCRL1,34.211468
3158,NEIL1,34.202717
4402,SERPINE1,34.118855
378,ALDH1A1,34.045815
1258,PDGFC,33.996655
6321,TTC1,33.927643
3546,MRPL12,33.898247
2155,LGALSL,33.89403
4579,AKT3,33.887432
